sk_object,objecttypeid,mapping,mapping_id,vendor
808903,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808990,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808953,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809093,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808897,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
832639,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808895,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808885,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808962,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808846,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809193,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809070,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808863,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808865,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
808771,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
809001,huawei_enodeb_1526726657,huawei,fd7874e7-672e-4904-afa9-2774ffb1a8c8,Huawei
