begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.Cell.DL.HighPrecision
2022-03-01,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1325029363624.0,72536425.0
2022-03-02,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1348801120776.0,74422919.0
2022-03-06,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,1389502303392.0,72441378.0
2022-03-03,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1441121349064.0,76924281.0
2022-03-07,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1422673099304.0,76725001.0
2022-03-09,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,67912580400.0,3474583.0
2022-03-10,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1385085741512.0,72133794.0
2022-03-11,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1194313517600.0,66943019.0
2022-03-12,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,1128109547744.0,57680685.0
2022-03-13,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,1083244603232.0,58556939.0
2022-03-15,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,1009932581560.0,65129054.0
2022-03-14,4G_KISSYROAD/,808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,665948727200.0,43783492.0
