begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,PDCP_SDU_VOL_DL,L.Thrp.bits.DL
2022-02-17,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,0,333251394016.0
2022-02-18,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,597671583096.0
2022-02-19,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,625867812384.0
2022-02-20,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,612597603328.0
2022-03-01,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,459764790800.0
2022-03-02,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,491955064408.0
2022-03-03,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,532534367168.0
2022-03-06,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,0,426585658400.0
2022-03-07,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,436857349680.0
2022-03-09,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,0,14099628352.0
2022-03-10,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,456048527784.0
2022-03-11,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,440494160384.0
2022-03-12,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,0,218030491184.0
2022-03-13,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,0,407213163376.0
2022-03-14,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,491947202200.0
2022-03-15,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN,Local Cell ID=1,Cell Name=4G_TORKPOITOWN-1,eNodeB ID=5072,Cell FDD TDD indication=CELL_FDD",809026.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,452680069976.0
2022-02-02,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,624566830688.0
2022-02-03,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,632432255952.0
2022-02-04,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,588542821432.0
2022-02-05,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,636832220504.0
2022-02-06,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,496616382352.0
2022-02-08,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,610860625552.0
2022-02-10,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,621838627368.0
2022-02-11,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,642606986312.0
