begintime,sk_object,duration,M8049C0,M8049C1,M8049C2,M8049C3
2022-03-11 02:15:00,21826.0,15,137.0,37108.0,3258.0,39917.0
2022-03-11 02:15:00,21827.0,15,123.0,37010.0,3051.0,39090.0
2022-03-11 02:15:00,21828.0,15,55.0,39411.0,1463.0,39738.0
2022-03-11 02:15:00,21829.0,15,71.0,28764.0,4757.0,30790.0
2022-03-11 02:15:00,21830.0,15,9.0,11843.0,1152.0,12089.0
2022-03-11 02:15:00,21831.0,15,102.0,34296.0,5337.0,36163.0
2022-03-11 02:15:00,21832.0,15,15.0,25766.0,1747.0,26555.0
2022-03-11 02:15:00,21833.0,15,6.0,9720.0,846.0,10003.0
2022-03-11 02:15:00,21834.0,15,136.0,48035.0,7483.0,51815.0
2022-03-11 02:15:00,21835.0,15,85.0,43829.0,6605.0,44718.0
2022-03-11 02:15:00,21836.0,15,36.0,23828.0,1170.0,24584.0
2022-03-11 02:15:00,21837.0,15,28.0,19178.0,5786.0,19748.0
2022-03-11 02:15:00,21838.0,15,21.0,15407.0,2041.0,15684.0
2022-03-11 02:30:00,21820.0,15,42.0,31460.0,6264.0,32375.0
2022-03-11 02:30:00,21821.0,15,17.0,27974.0,4068.0,30676.0
2022-03-11 02:30:00,21822.0,15,22.0,14674.0,813.0,15105.0
2022-03-11 02:30:00,21823.0,15,135.0,35743.0,10597.0,41862.0
2022-03-11 02:30:00,21824.0,15,202.0,39245.0,6323.0,42269.0
2022-03-11 02:30:00,21825.0,15,91.0,46507.0,3231.0,49739.0
2022-03-11 02:30:00,21826.0,15,127.0,32144.0,4886.0,33838.0
2022-03-11 02:30:00,21827.0,15,114.0,36129.0,5713.0,38984.0
2022-03-11 02:30:00,21828.0,15,57.0,37278.0,1990.0,38809.0
2022-03-11 02:30:00,21829.0,15,68.0,32917.0,6176.0,34966.0
2022-03-11 02:30:00,21830.0,15,9.0,10249.0,326.0,10333.0
2022-03-11 02:30:00,21831.0,15,99.0,33130.0,2778.0,34700.0
2022-03-11 02:30:00,21832.0,15,15.0,26546.0,12262.0,37802.0
2022-03-11 02:30:00,21833.0,15,7.0,12953.0,895.0,13215.0
2022-03-11 02:30:00,21834.0,15,137.0,49583.0,12130.0,50846.0
2022-03-11 02:30:00,21835.0,15,81.0,33327.0,1936.0,34842.0
2022-03-11 02:30:00,21836.0,15,32.0,21930.0,2169.0,22699.0
2022-03-11 02:30:00,21837.0,15,25.0,19793.0,4103.0,20720.0
2022-03-11 02:30:00,21838.0,15,23.0,17199.0,11882.0,17410.0
2022-03-11 02:45:00,21820.0,15,46.0,33560.0,1685.0,34982.0
2022-03-11 02:45:00,21821.0,15,15.0,30620.0,945.0,31114.0
2022-03-11 02:45:00,21822.0,15,23.0,8733.0,803.0,9199.0
2022-03-11 02:45:00,21823.0,15,129.0,38901.0,19849.0,49815.0
2022-03-11 02:45:00,21824.0,15,205.0,40776.0,17324.0,43645.0
2022-03-11 02:45:00,21825.0,15,88.0,43527.0,7879.0,44711.0
2022-03-11 02:45:00,21826.0,15,118.0,37222.0,13963.0,38672.0
2022-03-11 02:45:00,21827.0,15,118.0,37057.0,17390.0,45014.0
2022-03-11 02:45:00,21828.0,15,49.0,40509.0,3083.0,42536.0
2022-03-11 02:45:00,21829.0,15,65.0,28675.0,2729.0,30891.0
2022-03-11 02:45:00,21830.0,15,10.0,11620.0,574.0,11826.0
2022-03-11 02:45:00,21831.0,15,99.0,33107.0,4239.0,34840.0
