begintime,sk_object,duration,integrity,1542455326,1542455327,1542455328,1542455329,1542455330,1542455331,1542455332,1542455333,1542460727,1542460728,1542460729
2022-02-10,879952.0,86400.0,100.0,1057842166.0,107618146525.0,66801.0,5197524.0,1245238725.0,567830695600.0,0.0,0.0,,,
2022-02-18,879876.0,86400.0,100.0,976105248.0,96502211740.0,66535.0,5176336.0,1012074020.0,407014905183.0,0.0,0.0,,,
2022-02-20,879836.0,86400.0,100.0,29321716.0,3478720003.0,64109.0,4988328.0,47032636.0,18810856094.0,0.0,0.0,,,
2022-02-10,879798.0,86400.0,100.0,27262289.0,2131836125.0,64311.0,5003430.0,45149835.0,13746950956.0,0.0,0.0,,,
2022-02-05,879799.0,86400.0,100.0,575526260.0,54954273042.0,66778.0,5195316.0,574390520.0,241509147645.0,0.0,0.0,,,
2022-03-13,879854.0,75600.0,87.5,181463374.0,21694944040.0,58428.0,4545762.0,209472440.0,78151921243.0,0.0,0.0,,,
2022-03-03,879854.0,86400.0,100.0,166704667.0,16406624187.0,66772.0,5195020.0,207222061.0,71898862409.0,0.0,0.0,,,
2022-02-08,879957.0,86400.0,100.0,1272661346.0,123808388447.0,66734.0,5192210.0,1283530169.0,561055684313.0,0.0,0.0,,,
2022-02-18,879972.0,86400.0,100.0,568315147.0,53347232719.0,66747.0,5192928.0,637995769.0,231789112570.0,0.0,0.0,,,
2022-02-03,879889.0,86400.0,100.0,51075467.0,4346625194.0,66731.0,5192108.0,59302599.0,21162815034.0,0.0,0.0,,,
2022-03-13,879864.0,75600.0,87.5,736500463.0,70337576434.0,48382.0,3764116.0,747884590.0,333924738231.0,0.0,0.0,,,
2022-03-10,879890.0,82800.0,95.83333333333333,963126415.0,93893182415.0,58318.0,4537100.0,1041241981.0,425000545680.0,0.0,0.0,,,
2022-03-03,879961.0,86400.0,100.0,684019841.0,62003374013.0,66933.0,5207440.0,685834383.0,285116117804.0,0.0,0.0,,,
2022-02-20,879932.0,86400.0,100.0,138753088.0,14934175071.0,0.0,0.0,189028917.0,86391636919.0,0.0,0.0,,,
2022-02-04,879791.0,86400.0,100.0,92762941.0,7270698263.0,65187.0,5071624.0,83114202.0,35909028419.0,0.0,0.0,,,
2022-02-17,879869.0,75600.0,87.5,121169240.0,13433951856.0,54479.0,4239226.0,199393022.0,61224418191.0,0.0,0.0,,,
2022-02-05,879846.0,86400.0,100.0,432699377.0,41882692938.0,66924.0,5206536.0,513622888.0,206363697379.0,0.0,0.0,,,
2022-02-18,879945.0,86400.0,100.0,440055458.0,38441747533.0,65310.0,5081464.0,456157007.0,239076377446.0,0.0,0.0,,,
2022-02-10,879852.0,86400.0,100.0,1005535850.0,94536326949.0,66208.0,5151004.0,992994207.0,445637845470.0,0.0,0.0,,,
2022-02-17,879831.0,75600.0,87.5,1164735094.0,107529873944.0,58394.0,4543134.0,1238842065.0,506146765737.0,0.0,0.0,,,
2022-03-07,879965.0,86400.0,100.0,284492932.0,29800138431.0,0.0,0.0,341463428.0,143069944292.0,0.0,0.0,,,
2022-02-17,879834.0,75600.0,87.5,319758788.0,28286306613.0,58392.0,4543342.0,347078315.0,116326526630.0,0.0,0.0,,,
2022-02-10,879789.0,86400.0,100.0,255279586.0,23543090938.0,66431.0,5168614.0,284050178.0,130658250606.0,0.0,0.0,,,
2022-02-08,879937.0,86400.0,100.0,356668810.0,33004184664.0,66916.0,5206586.0,403833999.0,166506148392.0,0.0,0.0,,,
2022-03-13,879913.0,75600.0,87.5,661993423.0,65368255493.0,58565.0,4556676.0,696226374.0,316435141327.0,0.0,0.0,,,
2022-02-18,879851.0,86400.0,100.0,255807636.0,24046995977.0,65260.0,5077234.0,249208567.0,103638633625.0,0.0,0.0,,,
2022-02-18,879801.0,86400.0,100.0,439238899.0,41317943705.0,65231.0,5074776.0,456033781.0,198494459330.0,0.0,0.0,,,
2022-02-04,879867.0,86400.0,100.0,672105319.0,66285649149.0,66880.0,5203338.0,735562540.0,306521324805.0,0.0,0.0,,,
2022-03-10,879975.0,82800.0,95.83333333333333,473322026.0,41636888243.0,0.0,0.0,403198655.0,183108260936.0,0.0,0.0,,,
2022-02-05,879827.0,86400.0,100.0,421995226.0,44987615549.0,66769.0,5194918.0,478379375.0,199880671630.0,0.0,0.0,,,
2022-03-10,879782.0,82800.0,95.83333333333333,1423636640.0,132552445845.0,64005.0,4979686.0,1543222531.0,645096450745.0,0.0,0.0,,,
2022-03-02,879865.0,86400.0,100.0,736752086.0,69682333123.0,66778.0,5195638.0,783451274.0,323600883189.0,0.0,0.0,,,
2022-03-12,879922.0,68400.0,79.16666666666667,1012054764.0,95158568738.0,53010.0,4124374.0,987730696.0,394163229090.0,0.0,0.0,,,
2022-02-13,879934.0,86400.0,100.0,368709627.0,39140691339.0,66891.0,5204632.0,430139236.0,173504122705.0,0.0,0.0,,,
2022-03-11,879928.0,86400.0,100.0,452702856.0,40244514423.0,66442.0,5169540.0,404563835.0,129890783891.0,0.0,0.0,,,
2022-03-11,879871.0,86400.0,100.0,714766901.0,68298162662.0,66809.0,5198026.0,781548496.0,296512764101.0,0.0,0.0,,,
2022-02-20,879917.0,86400.0,100.0,88213888.0,8921366342.0,66907.0,5206142.0,93095630.0,39427367258.0,0.0,0.0,,,
2022-03-15,879796.0,86400.0,100.0,723221497.0,71846743164.0,66919.0,5206320.0,821493415.0,359079595545.0,0.0,0.0,,,
2022-02-17,879975.0,75600.0,87.5,414491063.0,37851507730.0,0.0,0.0,375183089.0,178555110965.0,0.0,0.0,,,
2022-02-03,879883.0,86400.0,100.0,446291332.0,45159248947.0,65878.0,5125570.0,534419628.0,236337777005.0,0.0,0.0,,,
2022-02-08,879891.0,86400.0,100.0,278260618.0,25296216823.0,0.0,0.0,349358180.0,174405318410.0,0.0,0.0,,,
2022-03-11,879809.0,86400.0,100.0,463338324.0,46532092333.0,66821.0,5198894.0,562159744.0,227351564564.0,0.0,0.0,,,
2022-03-02,879807.0,86400.0,100.0,343429458.0,32144340507.0,0.0,0.0,402613603.0,175137306328.0,0.0,0.0,,,
2022-02-08,879921.0,86400.0,100.0,1344920792.0,123761089779.0,63909.0,4972420.0,1227427964.0,570152545240.0,0.0,0.0,,,
2022-03-07,879957.0,86400.0,100.0,1225573682.0,117814093357.0,65063.0,5061888.0,1234502475.0,550010622981.0,0.0,0.0,,,
2022-02-13,879937.0,86400.0,100.0,388908097.0,41014798315.0,66937.0,5207714.0,412485421.0,167078237195.0,0.0,0.0,,,
2022-03-12,879973.0,68400.0,79.16666666666667,609567642.0,60608132854.0,51339.0,3994144.0,677038554.0,289929287885.0,0.0,0.0,,,
2022-03-15,879807.0,86400.0,100.0,336443750.0,32523559380.0,0.0,0.0,397520625.0,174323088815.0,0.0,0.0,,,
2022-02-04,879880.0,86400.0,100.0,141608722.0,12250244238.0,0.0,0.0,197087962.0,84836131503.0,0.0,0.0,,,
2022-03-10,879960.0,82800.0,95.83333333333333,41117812.0,4201922776.0,0.0,0.0,78840943.0,21082248203.0,0.0,0.0,,,
2022-03-14,879904.0,86400.0,100.0,843856890.0,76468128532.0,66780.0,5195522.0,902740826.0,341816309220.0,0.0,0.0,,,
