begintime,duration,object,20001349,20001350,20001351,20001352,20001353,20001354,20001355,20001356,20001357,20001358,20001359,20001360,20001361,20001362,20001363,20001364,20001365,20001366,20001367,20001368,20001369
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1684.0,0.0,,,900.0,,,,,,,,,,,,,,,356136.0,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",2959.0,0.0,,,900.0,,,,,,,,,,,,,,,628669.0,
2021-09-26 22:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3369.0,0.0,,,900.0,,,,,,,,,,,,,,,418878.0,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1487.0,0.0,,,900.0,,,,,,,,,,,,,,,323664.0,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",2646.0,0.0,,,900.0,,,,,,,,,,,,,,,667866.0,
2021-09-26 22:15:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",3079.0,0.0,,,900.0,,,,,,,,,,,,,,,416090.0,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",1320.0,0.0,,,900.0,,,,,,,,,,,,,,,346996.0,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",2474.0,0.0,,,900.0,,,,,,,,,,,,,,,575585.0,
2021-09-26 22:30:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",2659.0,0.0,,,900.0,,,,,,,,,,,,,,,408518.0,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",989.0,0.0,,,900.0,,,,,,,,,,,,,,,251158.0,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1",2162.0,0.0,,,900.0,,,,,,,,,,,,,,,574689.0,
2021-09-26 22:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=3",0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0,
