begintime,sk_object,duration,M8072C28,M8072C29,M8072C0,M8072C1,M8072C2,M8072C3,M8072C4,M8072C5,M8072C6,M8072C30,M8072C7,M8072C8,M8072C9,M8072C10,M8072C11,M8072C12,M8072C13,M8072C31,M8072C32,M8072C33
2022-03-12 19:15:00,22599.0,15,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 06:00:00,22516.0,15,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 20:45:00,22563.0,15,0.0,0.0,169.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,167.0,164.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:30:00,22579.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 09:00:00,22514.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:45:00,22557.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:30:00,22516.0,15,0.0,0.0,77.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,65.0,63.0,1.0,0.0,0.0,0.0,0.0
2022-03-11 14:45:00,22588.0,15,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 16:45:00,22516.0,15,1.0,1.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,106.0,102.0,3.0,0.0,0.0,0.0,0.0
2022-03-12 16:15:00,22564.0,15,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 23:15:00,22538.0,15,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:00:00,22540.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 03:15:00,22578.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
