begintime,sk_object,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880,duration
2022-03-01,7729498.0,,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729499.0,,0.0,637743.0,1042.0,756448.0,0.0,0.0,985.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729500.0,,0.0,72.0,38.0,7474.0,0.0,0.0,2.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729501.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729502.0,,0.0,1071864463.0,10526863.0,13081789576.0,0.0,0.0,4792158.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729503.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729504.0,,0.0,3108136907.0,7627434.0,7953229664.0,0.0,0.0,6142313.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729505.0,,0.0,1026316.0,487.0,388593.0,0.0,0.0,933.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729506.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729507.0,,0.0,8905.0,38.0,9808.0,0.0,0.0,15.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729508.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729509.0,,0.0,332.0,2.0,72.0,0.0,0.0,7.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729510.0,,0.0,144.0,3.0,108.0,0.0,0.0,4.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729511.0,,0.0,30844.0,9.0,555.0,0.0,0.0,46.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729512.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729513.0,,0.0,30871.0,90.0,85934.0,0.0,0.0,54.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729514.0,,0.0,106298.0,502.0,251936.0,0.0,0.0,166.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729516.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729517.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729518.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729519.0,,0.0,1204382103.0,12763228.0,16184236762.0,0.0,0.0,6968869.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729520.0,,0.0,1008789.0,783.0,612448.0,0.0,0.0,1193.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729521.0,,0.0,2029047093.0,12751138.0,15204738364.0,0.0,0.0,7337330.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729522.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729524.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
