begintime,ne_name,sum_L.Thrp.bits.DL,contribution,count,target_without_worst_nes
2022-03-09,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET, Local Cell ID=3, Cell Name=4G_KENNEDYSTREET-3, eNodeB ID=5027, Cell FDD TDD indication=CELL_FDD",26503781904.0,0.002321998697394484,207,8863859454872.0
2022-03-09,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II, Local Cell ID=0, Cell Name=4G_LESTERPEAK_II-1, eNodeB ID=5000, Cell FDD TDD indication=CELL_FDD",26723010872.0,0.0023412053668415457,208,8837136444000.0
2022-03-09,"4G_SEFADUCENTRAL/Cell:eNodeB Function Name=4G_SEFADUCENTRAL, Local Cell ID=2, Cell Name=4G_SEFADUCENTRAL-2, eNodeB ID=5061, Cell FDD TDD indication=CELL_FDD",26775358480.0,0.0023457915454491115,209,8810361085520.0
2022-03-09,"4G_DWARZK/Cell:eNodeB Function Name=4G_DWARZK, Local Cell ID=2, Cell Name=4G_DWARZK-2, eNodeB ID=5024, Cell FDD TDD indication=CELL_FDD",26786657200.0,0.0023467814273164336,210,8783574428320.0
2022-03-09,"4G_DWARZK/Cell:eNodeB Function Name=4G_DWARZK, Local Cell ID=7, Cell Name=4G_DWARZK-7, eNodeB ID=5024, Cell FDD TDD indication=CELL_FDD",26847714496.0,0.0023521306624667963,211,8756726713824.0
2022-03-09,"4G_KISSYHOUSE/Cell:eNodeB Function Name=4G_KISSYHOUSE, Local Cell ID=1, Cell Name=4G_KISSYHOUSE-1, eNodeB ID=5053, Cell FDD TDD indication=CELL_FDD",26862024968.0,0.0023533844041955603,212,8729864688856.0
2022-03-09,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II, Local Cell ID=1, Cell Name=4G_IMATT_II-1, eNodeB ID=5030, Cell FDD TDD indication=CELL_FDD",26991043392.0,0.0023646877198337966,213,8702873645464.0
2022-03-09,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN, Local Cell ID=7, Cell Name=4G_CLINETOWN-7, eNodeB ID=5029, Cell FDD TDD indication=CELL_FDD",27114234488.0,0.002375480502746013,214,8675759410976.0
2022-03-09,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION, Local Cell ID=3, Cell Name=4G_HILLSTATION-3, eNodeB ID=5064, Cell FDD TDD indication=CELL_FDD",27139786320.0,0.002377719101027381,215,8648619624656.0
2022-03-09,"4G_KINGHARMAN/Cell:eNodeB Function Name=4G_KINGHARMAN, Local Cell ID=1, Cell Name=4G_KINGHARMAN-1, eNodeB ID=5054, Cell FDD TDD indication=CELL_FDD",27175780816.0,0.0023808725820335295,216,8621443843840.0
2022-03-09,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS, Local Cell ID=3, Cell Name=4G_KISSYBARRACKS-3, eNodeB ID=5052, Cell FDD TDD indication=CELL_FDD",27432415872.0,0.002403356402187808,217,8594011427968.0
2022-03-09,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=2, Cell Name=4G_BYRNELANECOLLIGATE-2, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",27564210968.0,0.0024149029823077113,218,8566447217000.0
2022-03-09,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II, Local Cell ID=3, Cell Name=4G_ALLENTOWN_II-3, eNodeB ID=5034, Cell FDD TDD indication=CELL_FDD",27771095640.0,0.0024330281668808,219,8538676121360.0
2022-03-09,"4G_MAMBO/Cell:eNodeB Function Name=4G_MAMBO, Local Cell ID=1, Cell Name=4G_MAMBO-1, eNodeB ID=5073, Cell FDD TDD indication=CELL_FDD",27995722440.0,0.0024527077408709997,220,8510680398920.0
2022-03-09,"4G_KISSY_II/Cell:eNodeB Function Name=4G_KISSY_II, Local Cell ID=2, Cell Name=4G_KISSY_II-2, eNodeB ID=5036, Cell FDD TDD indication=CELL_FDD",28129724272.0,0.002464447653328758,221,8482550674648.0
2022-03-09,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE, Local Cell ID=1, Cell Name=4G_BYRNELANECOLLIGATE-1, eNodeB ID=5056, Cell FDD TDD indication=CELL_FDD",28233331312.0,0.002473524675347438,222,8454317343336.0
2022-03-09,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN, Local Cell ID=3, Cell Name=4G_BOTOWN-3, eNodeB ID=5041, Cell FDD TDD indication=CELL_FDD",28454506136.0,0.0024929018214122772,223,8425862837200.0
