NE Name,fdn,ADLDACT,ADMODE,ADVER1,ADVER2,AUTOTYPE,BTSID,CVER,IDTYPE,MOIndex,PATCHNO1,PV,RVER,STTYPE,SoftwareVersion,VVER,className,name,neID
FTBSC02,"NE=280,BTSAUTODLDACTINFO=80",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,80,0,BYID,26_80,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=80,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=56",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,56,0,BYID,26_56,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=56,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=60",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,60,0,BYID,26_60,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=60,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=64",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,64,0,BYID,26_64,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=64,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=66",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,66,0,BYID,26_66,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=66,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=115",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,115,0,BYID,26_115,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=115,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=120",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,120,0,BYID,26_120,0,0,0,BTS3900_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=120,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=121",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,121,0,BYID,26_121,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=121,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=122",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,122,0,BYID,26_122,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=122,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=196",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,196,0,BYID,26_196,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=196,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=89",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,89,0,BYID,26_89,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=89,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=92",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,92,0,BYID,26_92,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=92,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=201",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,201,0,BYID,26_201,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=201,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=202",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,202,0,BYID,26_202,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=202,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=220",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,220,0,BYID,26_220,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=220,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=224",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,224,0,BYID,26_224,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=224,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=229",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,229,0,BYID,26_229,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=229,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=232",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,232,0,BYID,26_232,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=232,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=235",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,235,0,BYID,26_235,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=235,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=237",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,237,0,BYID,26_237,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=237,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=238",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,238,0,BYID,26_238,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=238,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=233",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,233,0,BYID,26_233,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=233,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=247",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,247,0,BYID,26_247,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=247,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=252",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,252,0,BYID,26_252,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=252,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=257",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,257,0,BYID,26_257,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=257,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=258",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,258,0,BYID,26_258,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=258,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=263",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,263,0,BYID,26_263,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=263,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=271",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,271,0,BYID,26_271,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=271,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=272",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,272,0,BYID,26_272,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=272,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=282",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,282,0,BYID,26_282,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=282,26
FTBSC02,"NE=280,BTSAUTODLDACTINFO=293",ON,COMMON_DLD,BTS3900V100R016C10SP260,0,BTSAUTODLDACT,293,0,BYID,26_293,0,0,0,BTS3900A_GSM,BTS3900V100R016C10SP260_0_0,0,BSC6900GSMBTSAUTODLDACTINFO,BTS Index=293,26
