begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7
2022-03-09,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,24953968208.0,0.0,3152.0
2022-03-10,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,678491544664.0,0.0,64111.0
2022-03-11,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,575514673944.0,0.0,67334.0
2022-03-12,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,627491599016.0,0.0,58367.0
2022-03-13,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,657322277920.0,0.0,62027.0
2022-03-14,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,554613407800.0,0.0,58170.0
2022-03-15,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,749160150256.0,0.0,75868.0
2022-02-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,187203571856.0,0.0,7002.0
2022-02-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,13898697560.0,0.0,5427.0
2022-02-04,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,29031935608.0,0.0,8953.0
2022-02-05,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,17135253256.0,0.0,6913.0
