begintime,sk_object,duration,integrity,1593835805,1593835629,1593835804,1593835628,1593835647,1593835620,1593835637,1593835638,1593835639,1593835640,1593835648,1593835649,1593835650,1593835651,1593835801,1593835802
2022-02-03 01:00:00,7732489.0,3600.0,100.0,,,,,32688.0,,1.0560967,0.0,,,32687.0,32691.0,,,,
2022-02-03 01:00:00,7732490.0,3600.0,100.0,,,,,32395.0,,0.17964333,0.0,,,32395.0,32395.0,,,,
2022-02-03 01:00:00,7732491.0,3600.0,100.0,,,,,32230.0,,1.0537914,0.0,,,32230.0,32230.0,,,,
2022-02-03 01:00:00,7732492.0,3600.0,100.0,,,,,32303.0,,0.43185192,0.0,,,32303.0,32303.0,,,,
2022-02-03 01:00:00,7732493.0,3600.0,100.0,,,,,32771.0,,0.92102414,0.0,,,32766.0,32764.0,,,,
2022-02-03 01:00:00,7732494.0,3600.0,100.0,,,,,32285.0,,0.7212314,0.0,,,32284.0,32286.0,,,,
2022-02-03 01:00:00,7732495.0,3600.0,100.0,,,,,32472.0,,0.89706087,0.0,,,32472.0,32492.0,,,,
2022-02-03 01:00:00,7732496.0,3600.0,100.0,,,,,32300.0,,1.0303817,0.0,,,32300.0,32293.0,,,,
2022-02-03 01:00:00,7732497.0,3600.0,100.0,,,,,31438.0,,0.40657973,0.0,,,31438.0,31479.0,,,,
2022-02-03 01:00:00,7732498.0,3600.0,100.0,,,,,32251.0,,0.40068889,0.0,,,32251.0,32251.0,,,,
2022-02-03 01:00:00,7732499.0,3600.0,100.0,,,,,32692.0,,0.42050499,0.0,,,32692.0,32692.0,,,,
2022-02-03 01:00:00,7732500.0,3600.0,100.0,,,,,31785.0,,1.5866383,0.0,,,31774.0,31778.0,,,,
2022-02-03 01:00:00,7732501.0,3600.0,100.0,,,,,32298.0,,1.0242661,0.0,,,32296.0,32288.0,,,,
2022-02-03 01:00:00,7732502.0,3600.0,100.0,,,,,32374.0,,0.41066918,0.0,,,32374.0,32374.0,,,,
2022-02-03 01:00:00,7732503.0,3600.0,100.0,,,,,32712.0,,0.85722607,0.0,,,32709.0,32710.0,,,,
2022-02-03 01:00:00,7732504.0,3600.0,100.0,,,,,32453.0,,0.41018999,0.0,,,32440.0,32456.0,,,,
2022-02-03 01:00:00,7732505.0,3600.0,100.0,,,,,31803.0,,0.67580801,0.0,,,31803.0,31801.0,,,,
2022-02-03 01:00:00,7732506.0,3600.0,100.0,,,,,32389.0,,0.93050998,0.0,,,32389.0,32387.0,,,,
2022-02-03 01:00:00,7732507.0,3600.0,100.0,,,,,34294.0,,0.19277027,0.0,,,34294.0,34336.0,,,,
2022-02-03 01:00:00,7732508.0,3600.0,100.0,,,,,32048.0,,1.1116039,0.0,,,32048.0,32046.0,,,,
2022-02-03 01:00:00,7732509.0,3600.0,100.0,,,,,31778.0,,1.2337586,0.0,,,31772.0,31777.0,,,,
2022-02-03 01:00:00,7732510.0,3600.0,100.0,,,,,33036.0,,0.78377527,0.0,,,33036.0,33038.0,,,,
2022-02-03 01:00:00,7732511.0,3600.0,100.0,,,,,32052.0,,1.2076125,0.0,,,32052.0,32050.0,,,,
2022-02-03 01:00:00,7732512.0,3600.0,100.0,,,,,32192.0,,0.71655023,0.0,,,32191.0,32188.0,,,,
2022-02-03 01:00:00,7732513.0,3600.0,100.0,,,,,33064.0,,0.78398299,0.0,,,33064.0,33057.0,,,,
2022-02-03 01:00:00,7732514.0,3600.0,100.0,,,,,32623.0,,1.0077709,0.0,,,32622.0,32618.0,,,,
2022-02-03 01:00:00,7732515.0,3600.0,100.0,,,,,32428.0,,0.84657276,0.0,,,32426.0,32428.0,,,,
2022-02-03 01:00:00,7732516.0,3600.0,100.0,,,,,30435.0,,0.47581333,0.0,,,30435.0,30435.0,,,,
2022-02-03 01:00:00,7732517.0,3600.0,100.0,,,,,31048.0,,0.47054636,0.0,,,31048.0,31048.0,,,,
2022-02-03 01:00:00,7732518.0,3600.0,100.0,,,,,31775.0,,0.87423646,0.0,,,31773.0,31775.0,,,,
2022-02-03 01:00:00,7732519.0,3600.0,100.0,,,,,32222.0,,0.6018675,0.0,,,32222.0,32222.0,,,,
2022-02-03 01:00:00,7732520.0,3600.0,100.0,,,,,32491.0,,0.45628279,0.0,,,32491.0,32486.0,,,,
2022-02-03 01:00:00,7732521.0,3600.0,100.0,,,,,31403.0,,1.2366788,0.0,,,31403.0,31403.0,,,,
2022-02-03 01:00:00,7732522.0,3600.0,100.0,,,,,31053.0,,1.5835695,0.0,,,31042.0,31049.0,,,,
2022-02-03 01:00:00,7732523.0,3600.0,100.0,,,,,31968.0,,0.22415832,0.0,,,31968.0,31968.0,,,,
2022-02-03 01:00:00,7732524.0,3600.0,100.0,,,,,31870.0,,0.88467306,0.0,,,31869.0,31865.0,,,,
2022-02-03 01:00:00,7732525.0,3600.0,100.0,,,,,32886.0,,0.98864448,0.0,,,32881.0,32899.0,,,,
2022-02-03 01:00:00,7732526.0,3600.0,100.0,,,,,33518.0,,0.75825304,0.0,,,33518.0,33515.0,,,,
2022-02-03 01:00:00,7732527.0,3600.0,100.0,,,,,31788.0,,0.71084082,0.0,,,31788.0,31788.0,,,,
2022-02-03 01:00:00,7732528.0,3600.0,100.0,,,,,31855.0,,0.50007194,0.0,,,31855.0,31855.0,,,,
2022-02-03 01:00:00,7732529.0,3600.0,100.0,,,,,32107.0,,1.049615,0.0,,,32107.0,32107.0,,,,
2022-02-03 01:00:00,7732530.0,3600.0,100.0,,,,,31812.0,,0.42184198,0.0,,,31812.0,31812.0,,,,
2022-02-03 01:00:00,7732531.0,3600.0,100.0,,,,,32466.0,,0.84936452,0.0,,,32465.0,32460.0,,,,
2022-02-03 01:00:00,7732532.0,3600.0,100.0,,,,,32671.0,,0.45348805,0.0,,,32671.0,32671.0,,,,
2022-02-03 01:00:00,7732533.0,3600.0,100.0,,,,,33131.0,,0.42623889,0.0,,,33131.0,33131.0,,,,
2022-02-03 01:00:00,7732534.0,3600.0,100.0,,,,,32069.0,,0.87797052,0.0,,,32067.0,32064.0,,,,
2022-02-03 01:00:00,7732535.0,3600.0,100.0,,,,,33529.0,,1.4931366,0.0,,,33529.0,33528.0,,,,
2022-02-03 01:00:00,7732536.0,3600.0,100.0,,,,,32313.0,,0.85465837,0.0,,,32313.0,32313.0,,,,
2022-02-03 01:00:00,7732537.0,3600.0,100.0,,,,,32590.0,,1.1164092,0.0,,,32590.0,32590.0,,,,
2022-02-03 01:00:00,7732538.0,3600.0,100.0,,,,,32378.0,,0.57015944,0.0,,,32378.0,32407.0,,,,
2022-02-03 01:00:00,7732539.0,3600.0,100.0,,,,,32853.0,,1.1410017,0.0,,,32853.0,32587.0,,,,
2022-02-03 01:00:00,7732540.0,3600.0,100.0,,,,,33001.0,,0.54312724,0.0,,,33001.0,33001.0,,,,
2022-02-03 01:00:00,7732541.0,3600.0,100.0,,,,,31928.0,,0.44858086,0.0,,,31928.0,31928.0,,,,
2022-02-03 01:00:00,7732542.0,3600.0,100.0,,,,,32317.0,,1.4840956,0.0,,,32317.0,32315.0,,,,
2022-02-03 01:00:00,7732543.0,3600.0,100.0,,,,,33349.0,,1.1178472,0.0,,,33349.0,33349.0,,,,
2022-02-03 01:00:00,7732544.0,3600.0,100.0,,,,,30929.0,,0.64672887,0.0,,,30929.0,30929.0,,,,
2022-02-03 01:00:00,7732545.0,3600.0,100.0,,,,,33491.0,,0.44136494,0.0,,,33491.0,33491.0,,,,
2022-02-03 01:00:00,7732546.0,3600.0,100.0,,,,,32605.0,,0.40308779,0.0,,,32605.0,32605.0,,,,
2022-02-03 01:00:00,7732547.0,3600.0,100.0,,,,,32236.0,,0.55685806,0.0,,,32236.0,32236.0,,,,
2022-02-03 01:00:00,7732548.0,3600.0,100.0,,,,,31889.0,,0.4299311,0.0,,,31889.0,31889.0,,,,
2022-02-03 01:00:00,7732549.0,3600.0,100.0,,,,,32523.0,,0.44592643,0.0,,,32523.0,32523.0,,,,
2022-02-03 01:00:00,7732550.0,3600.0,100.0,,,,,32816.0,,1.1070503,0.0,,,32816.0,32816.0,,,,
2022-02-03 01:00:00,7732551.0,3600.0,100.0,,,,,32517.0,,0.77072811,0.0,,,32515.0,32512.0,,,,
2022-02-03 01:00:00,7732552.0,3600.0,100.0,,,,,32393.0,,1.0328705,0.0,,,32393.0,32394.0,,,,
2022-02-03 01:00:00,7732553.0,3600.0,100.0,,,,,31820.0,,0.9706825,0.0,,,31820.0,31820.0,,,,
2022-02-03 01:00:00,7732554.0,3600.0,100.0,,,,,31802.0,,0.57973862,0.0,,,31802.0,31802.0,,,,
2022-02-03 01:00:00,7732555.0,3600.0,100.0,,,,,31357.0,,0.78599834,0.0,,,31330.0,31326.0,,,,
2022-02-03 01:00:00,7732556.0,3600.0,100.0,,,,,32422.0,,0.93569249,0.0,,,32422.0,32422.0,,,,
2022-02-03 01:00:00,7732557.0,3600.0,100.0,,,,,32864.0,,0.90575331,0.0,,,32864.0,32860.0,,,,
