begintime,ne_name,ne_type,vendor,integrity,VS.CHANNELIZED.FAULTTIME,id
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,79
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,80
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,81
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,82
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,83
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,84
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,85
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,86
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,87
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,88
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,89
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,90
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,91
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,92
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,93
2022-02-06,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,94
