begintime,ne_name,ne_type,vendor,integrity,HU LTE_DL Traffic(GB),HU LTE_RRC SR%,id
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=2,Cell Name=4G_BLACKHALLROAD_II-2,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,91.4604,99.9084,35
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,117.7114,99.462,36
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=7,Cell Name=4G_BLACKHALLROAD_II-7,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,84.2997,99.9831,37
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=1,Cell Name=4G_BONTHE-1,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1.0079,100.0,38
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=2,Cell Name=4G_BONTHE-2,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1.6678,99.9913,39
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=3,Cell Name=4G_BONTHE-3,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,0.28,100.0,40
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=1,Cell Name=4G_BOTOWN-1,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,82.8193,99.9629,41
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=2,Cell Name=4G_BOTOWN-2,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,41.5583,99.9496,42
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=3,Cell Name=4G_BOTOWN-3,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,37.5368,99.9497,43
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=6,Cell Name=4G_BOTOWN-6,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,66.9149,99.9736,44
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=7,Cell Name=4G_BOTOWN-7,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,28.8188,99.9666,45
2022-02-02,"4G_BOTOWN/Cell:eNodeB Function Name=4G_BOTOWN,Local Cell ID=8,Cell Name=4G_BOTOWN-8,eNodeB ID=5041,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,5.9957,99.9688,46
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=1,Cell Name=4G_BYRNELANECOLLIGATE-1,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,59.4199,99.9624,47
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=2,Cell Name=4G_BYRNELANECOLLIGATE-2,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,41.2089,99.9748,48
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=3,Cell Name=4G_BYRNELANECOLLIGATE-3,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,59.3556,99.9673,49
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=6,Cell Name=4G_BYRNELANECOLLIGATE-6,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,46.526,99.9561,50
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=7,Cell Name=4G_BYRNELANECOLLIGATE-7,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,77.1274,99.9863,51
2022-02-02,"4G_BYRNELANECOLLIGATE/Cell:eNodeB Function Name=4G_BYRNELANECOLLIGATE,Local Cell ID=8,Cell Name=4G_BYRNELANECOLLIGATE-8,eNodeB ID=5056,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,58.1342,99.9905,52
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=1,Cell Name=4G_CITYROAD-1,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,133.7771,99.946,53
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=2,Cell Name=4G_CITYROAD-2,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,42.9526,99.9687,54
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=3,Cell Name=4G_CITYROAD-3,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,55.458,99.9296,55
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=1,Cell Name=4G_CKC_BO-1,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,6.2634,99.977,56
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=2,Cell Name=4G_CKC_BO-2,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,12.9514,99.9331,57
2022-02-02,"4G_CKC_BO/Cell:eNodeB Function Name=4G_CKC_BO,Local Cell ID=3,Cell Name=4G_CKC_BO-3,eNodeB ID=5071,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,21.1652,99.956,58
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=1,Cell Name=4G_CLINETOWN-1,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,102.7375,99.9097,59
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=2,Cell Name=4G_CLINETOWN-2,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,81.979,99.907,60
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=3,Cell Name=4G_CLINETOWN-3,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,98.5543,99.9423,61
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=6,Cell Name=4G_CLINETOWN-6,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,69.0373,99.9538,62
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=7,Cell Name=4G_CLINETOWN-7,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,31.6461,99.9851,63
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=8,Cell Name=4G_CLINETOWN-8,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,50.6226,99.9777,64
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=1,Cell Name=4G_COLEFARM_II-1,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,63.7597,99.9672,65
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=2,Cell Name=4G_COLEFARM_II-2,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,43.933,99.9019,66
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=3,Cell Name=4G_COLEFARM_II-3,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,42.3722,99.9683,67
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,45.7322,99.9822,68
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=7,Cell Name=4G_COLEFARM_II-7,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,88.8293,99.9551,69
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=8,Cell Name=4G_COLEFARM_II-8,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,77.8383,99.9643,70
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=1,Cell Name=4G_COLLEGIATESCHOOL_II-1,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,103.2438,99.9752,71
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=2,Cell Name=4G_COLLEGIATESCHOOL_II-2,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,32.0975,99.9272,72
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=3,Cell Name=4G_COLLEGIATESCHOOL_II-3,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,85.8536,99.9774,73
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=6,Cell Name=4G_COLLEGIATESCHOOL_II-6,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,157.4677,99.9857,74
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=7,Cell Name=4G_COLLEGIATESCHOOL_II-7,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,157.1148,99.9954,75
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=8,Cell Name=4G_COLLEGIATESCHOOL_II-8,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,70.1969,99.9932,76
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=1,Cell Name=4G_CONGOTOWN-1,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,46.5687,99.9443,77
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=2,Cell Name=4G_CONGOTOWN-2,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,52.473,99.9503,78
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=3,Cell Name=4G_CONGOTOWN-3,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,76.2858,99.9459,79
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=6,Cell Name=4G_CONGOTOWN-6,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,37.1355,99.9732,80
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=7,Cell Name=4G_CONGOTOWN-7,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,91.1015,99.9846,81
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=8,Cell Name=4G_CONGOTOWN-8,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,77.6586,99.9796,82
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=1,Cell Name=4G_DAMAROAD-1,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,140.5812,99.9316,83
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=2,Cell Name=4G_DAMAROAD-2,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,32.1149,99.9694,84
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=3,Cell Name=4G_DAMAROAD-3,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,60.0468,99.9236,85
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,48.4613,99.9412,86
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=2,Cell Name=4G_DILLET-2,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,32.8069,99.9226,87
