begintime,sk_object,duration,integrity,M40001C0
2022-03-11 16:00:00,15337.0,60.0,100.0,12.0
2022-03-12 04:00:00,15187.0,60.0,100.0,11.0
2022-03-11 18:00:00,15317.0,60.0,100.0,11.0
2022-03-11 01:00:00,15321.0,60.0,100.0,11.0
2022-03-11 16:00:00,15327.0,60.0,100.0,12.0
2022-03-11 17:00:00,15315.0,60.0,100.0,11.0
2022-03-11 01:00:00,15252.0,60.0,100.0,11.0
2022-03-11 10:00:00,15185.0,60.0,100.0,11.0
2022-03-12 07:00:00,15249.0,60.0,100.0,11.0
2022-03-12 18:00:00,15200.0,60.0,100.0,13.0
2022-03-12 18:00:00,15269.0,60.0,100.0,11.0
2022-03-11 23:00:00,15239.0,60.0,100.0,12.0
2022-03-11 17:00:00,15202.0,60.0,100.0,12.0
2022-03-11 11:00:00,15179.0,60.0,100.0,12.0
2022-03-12 02:00:00,15243.0,60.0,100.0,12.0
2022-03-11 03:00:00,15335.0,60.0,100.0,11.0
2022-03-12 06:00:00,15299.0,60.0,100.0,11.0
2022-03-12 09:00:00,15182.0,60.0,100.0,11.0
2022-03-12 02:00:00,15283.0,60.0,100.0,12.0
2022-03-12 07:00:00,15236.0,60.0,100.0,12.0
2022-03-12 10:00:00,15314.0,60.0,100.0,11.0
2022-03-11 21:00:00,15245.0,60.0,100.0,12.0
2022-03-11 16:00:00,15203.0,60.0,100.0,11.0
2022-03-11 01:00:00,15302.0,60.0,100.0,12.0
2022-03-11 11:00:00,15219.0,60.0,100.0,11.0
2022-03-12 15:00:00,15300.0,60.0,100.0,11.0
2022-03-12 02:00:00,15341.0,60.0,100.0,11.0
2022-03-12 16:00:00,15160.0,60.0,100.0,11.0
2022-03-12 05:00:00,15172.0,60.0,100.0,11.0
2022-03-12 13:00:00,15282.0,60.0,100.0,11.0
2022-03-11 04:00:00,15178.0,60.0,100.0,12.0
2022-03-12 16:00:00,15286.0,60.0,100.0,12.0
2022-03-12 21:00:00,15169.0,60.0,100.0,12.0
2022-03-11 19:00:00,15326.0,60.0,100.0,11.0
2022-03-11 15:00:00,15266.0,60.0,100.0,11.0
2022-03-11 05:00:00,15191.0,60.0,100.0,11.0
2022-03-11 06:00:00,15226.0,60.0,100.0,14.0
2022-03-14 04:00:00,15253.0,60.0,100.0,12.0
2022-03-11 06:00:00,15337.0,60.0,100.0,12.0
2022-03-11 04:00:00,15222.0,60.0,100.0,11.0
2022-03-12 03:00:00,15202.0,60.0,100.0,12.0
2022-03-11 14:00:00,15305.0,60.0,100.0,12.0
2022-03-12 15:00:00,15233.0,60.0,100.0,12.0
2022-03-11 04:00:00,15206.0,60.0,100.0,11.0
2022-03-11 03:00:00,15188.0,60.0,100.0,11.0
2022-03-14 00:00:00,15315.0,60.0,100.0,11.0
2022-03-12 16:00:00,15172.0,60.0,100.0,11.0
2022-03-12 17:00:00,15285.0,60.0,100.0,11.0
2022-03-11 11:00:00,15293.0,60.0,100.0,11.0
2022-03-12 18:00:00,15283.0,60.0,100.0,12.0
2022-03-11 02:00:00,15242.0,60.0,100.0,11.0
2022-03-11 06:00:00,15205.0,60.0,100.0,13.0
2022-03-11 19:00:00,15337.0,60.0,100.0,12.0
2022-03-12 21:00:00,15183.0,60.0,100.0,12.0
2022-03-12 06:00:00,15338.0,60.0,100.0,11.0
2022-03-11 20:00:00,15195.0,60.0,100.0,12.0
2022-03-12 01:00:00,15173.0,60.0,100.0,11.0
2022-03-11 03:00:00,15201.0,60.0,100.0,11.0
2022-03-11 07:00:00,15195.0,60.0,100.0,12.0
2022-03-11 04:00:00,15327.0,60.0,100.0,12.0
2022-03-12 07:00:00,15280.0,60.0,100.0,11.0
2022-03-12 05:00:00,15319.0,60.0,100.0,12.0
2022-03-12 16:00:00,15315.0,60.0,100.0,11.0
2022-03-11 21:00:00,15326.0,60.0,100.0,11.0
2022-03-11 11:00:00,15207.0,60.0,100.0,11.0
2022-03-11 01:00:00,15264.0,60.0,100.0,12.0
2022-03-12 07:00:00,15330.0,60.0,100.0,11.0
2022-03-11 17:00:00,15264.0,60.0,100.0,12.0
2022-03-11 17:00:00,15204.0,60.0,100.0,10.0
2022-03-12 09:00:00,15280.0,60.0,100.0,11.0
2022-03-12 02:00:00,15205.0,60.0,100.0,13.0
2022-03-12 00:00:00,15278.0,60.0,100.0,11.0
2022-03-11 08:00:00,15258.0,60.0,100.0,12.0
2022-03-11 13:00:00,15160.0,60.0,100.0,10.0
2022-03-12 19:00:00,15251.0,60.0,100.0,11.0
2022-03-12 18:00:00,15225.0,60.0,100.0,12.0
2022-03-12 20:00:00,15302.0,60.0,100.0,12.0
2022-03-11 20:00:00,15163.0,60.0,100.0,12.0
2022-03-11 21:00:00,15214.0,60.0,100.0,11.0
2022-03-12 11:00:00,15301.0,60.0,100.0,11.0
2022-03-12 13:00:00,15271.0,60.0,100.0,11.0
2022-03-11 09:00:00,15180.0,60.0,100.0,12.0
2022-03-11 14:00:00,15255.0,60.0,100.0,11.0
2022-03-12 08:00:00,15268.0,60.0,100.0,11.0
