begintime,sk_object,1279470420,1279470421,1279470417,1279470418,1279470419,1279470422,1279470423,duration
2022-03-06 17:00:00,627072.0,14284034091.0,36581200635.0,83725944.0,94785589.0,0.0,21670726.0,55634726.0,PT3600S
2022-03-06 18:00:00,627072.0,14666256682.0,36665137754.0,86438559.0,96524135.0,0.0,22368050.0,58356780.0,PT3600S
2022-03-06 19:00:00,627072.0,14695181263.0,33991948162.0,89518994.0,95143473.0,0.0,22447965.0,52669193.0,PT3600S
2022-03-06 20:00:00,627072.0,15712636210.0,33251783852.0,97568404.0,98486761.0,0.0,23915615.0,52263230.0,PT3600S
2022-03-06 21:00:00,627072.0,17349846531.0,38876537897.0,104789701.0,108972397.0,0.0,26876413.0,65485726.0,PT3600S
2022-03-06 22:00:00,627072.0,18135426869.0,47755043219.0,101827206.0,117444609.0,0.0,27634216.0,72329603.0,PT3600S
2022-03-06 23:00:00,627072.0,12636781995.0,41963094392.0,68075663.0,90228374.0,0.0,23709993.0,71814968.0,PT3600S
2022-03-07 00:00:00,627072.0,7042696644.0,27617524395.0,38668451.0,55874561.0,0.0,13064240.0,50968060.0,PT3600S
2022-03-07 01:00:00,627072.0,3555651855.0,14866432575.0,20162484.0,29365814.0,0.0,7045768.0,28908426.0,PT3600S
2022-03-07 02:00:00,627072.0,2251061123.0,9471402962.0,13431945.0,19336105.0,0.0,3813375.0,16122611.0,PT3600S
2022-03-07 03:00:00,627072.0,1869070049.0,8106236648.0,11629019.0,16829108.0,0.0,3188950.0,13315343.0,PT3600S
2022-03-07 04:00:00,627072.0,1729396271.0,7319636006.0,10747838.0,15222554.0,0.0,2996387.0,12659240.0,PT3600S
2022-03-07 05:00:00,627072.0,2193857783.0,9362005307.0,13022605.0,18663895.0,0.0,4360906.0,17984152.0,PT3600S
2022-03-07 06:00:00,627072.0,3853598693.0,15793223931.0,21945362.0,31636650.0,0.0,8647762.0,32549516.0,PT3600S
2022-03-07 07:00:00,627072.0,7391771291.0,25967340312.0,42407781.0,56477055.0,0.0,12620111.0,41526428.0,PT3600S
2022-03-07 09:00:00,627072.0,11040885241.0,30252201285.0,65054697.0,75245822.0,0.0,16746843.0,46642752.0,PT3600S
2022-03-07 10:00:00,627072.0,11314967884.0,31441556446.0,67863303.0,78819068.0,0.0,16802641.0,47635999.0,PT3600S
2022-03-07 11:00:00,627072.0,11864621527.0,32607819181.0,70086525.0,82016104.0,0.0,17949090.0,50034357.0,PT3600S
2022-03-07 12:00:00,627072.0,11471365349.0,31202933721.0,68178106.0,78875218.0,0.0,17331174.0,48248777.0,PT3600S
2022-03-07 13:00:00,627072.0,10824166331.0,30817283259.0,64318373.0,76149908.0,0.0,16697174.0,47832867.0,PT3600S
2022-03-07 14:00:00,627072.0,11146398132.0,31804908727.0,66499938.0,78467900.0,0.0,16907126.0,48779246.0,PT3600S
2022-03-07 15:00:00,627072.0,11519804859.0,32948920781.0,68568372.0,81281061.0,0.0,17663282.0,50363685.0,PT3600S
2022-03-07 16:00:00,627072.0,11937908041.0,33690824625.0,70309210.0,83245786.0,0.0,17930488.0,52276952.0,PT3600S
2022-03-07 17:00:00,627072.0,12339733844.0,33989987499.0,72037810.0,84508039.0,0.0,19331929.0,51093062.0,PT3600S
2022-03-07 18:00:00,627072.0,13003454084.0,35400297075.0,76769232.0,89510109.0,0.0,19500663.0,53761024.0,PT3600S
2022-03-07 19:00:00,627072.0,14599148735.0,35206177122.0,89390367.0,96338118.0,0.0,22826508.0,53615250.0,PT3600S
2022-03-07 20:00:00,627072.0,15655995457.0,33801156461.0,97925571.0,99391230.0,0.0,23354400.0,52276462.0,PT3600S
2022-03-07 21:00:00,627072.0,16834460513.0,36850549300.0,102743248.0,105471249.0,0.0,26962387.0,61698562.0,PT3600S
2022-03-07 22:00:00,627072.0,18866319162.0,49186205870.0,107052301.0,122451937.0,0.0,28300155.0,77512077.0,PT3600S
2022-03-07 23:00:00,627072.0,14637542521.0,46745985701.0,79901115.0,103547939.0,0.0,25628614.0,77229567.0,PT3600S
