begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-02-18,7732724.0,86400.0,100.0,0.0,8.0,5.833333333333333,0.0,,,,
2022-02-18,7732703.0,86400.0,100.0,0.0,13.0,6.166666666666667,0.0,,,,
2022-03-10,7732655.0,82800.0,95.83333333333333,0.0,6.0,3.6521739130434785,0.0,,,,
2022-02-06,7732642.0,86400.0,100.0,0.0,10.0,7.0,0.0,,,,
2022-03-15,7732641.0,86400.0,100.0,0.0,8.0,1.0,0.0,,,,
2022-02-06,7732718.0,86400.0,100.0,0.0,9.0,6.625,0.0,,,,
2022-03-06,7732656.0,75600.0,87.5,0.0,48.0,9.285714285714286,0.0,,,,
2022-02-20,7732636.0,86400.0,100.0,0.0,7.0,4.666666666666667,0.0,,,,
2022-03-11,7732646.0,82800.0,95.83333333333333,0.0,41.0,6.130434782608695,0.0,,,,
2022-02-08,7732674.0,86400.0,100.0,0.0,6.0,3.875,0.0,,,,
2022-02-03,7732765.0,86400.0,100.0,0.0,7.0,1.625,0.0,,,,
2022-03-07,7732756.0,82800.0,95.83333333333333,0.0,41.0,4.130434782608695,0.0,,,,
2022-03-11,7732640.0,82800.0,95.83333333333333,0.0,14.0,1.0,0.0,,,,
2022-02-13,7732654.0,86400.0,100.0,0.0,9.0,6.625,0.0,,,,
2022-02-19,7732711.0,86400.0,100.0,0.0,7.0,4.666666666666667,0.0,,,,
2022-03-12,11216945.0,68400.0,79.16666666666667,0.0,7.0,5.0,0.0,,,,
2022-03-13,7732671.0,75600.0,87.5,0.0,67.0,8.428571428571429,0.0,,,,
2022-03-15,7732684.0,86400.0,100.0,0.0,15.0,7.0,0.0,,,,
2022-02-10,7732689.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-03-10,7732638.0,82800.0,95.83333333333333,0.0,36.0,6.478260869565218,0.0,,,,
2022-03-14,7732609.0,86400.0,100.0,0.0,8.0,4.916666666666667,0.0,,,,
2022-02-17,7732713.0,75600.0,87.5,0.0,5.0,1.0,0.0,,,,
2022-02-04,7732766.0,86400.0,100.0,0.0,11.0,8.208333333333334,0.0,,,,
2022-02-05,7732710.0,86400.0,100.0,0.0,10.0,6.708333333333333,0.0,,,,
2022-02-10,7732670.0,86400.0,100.0,0.0,16.0,7.625,0.0,,,,
2022-02-03,7732754.0,86400.0,100.0,0.0,7.0,4.708333333333333,0.0,,,,
2022-03-06,7732624.0,79200.0,91.66666666666667,0.0,42.0,6.0,0.0,,,,
2022-02-17,7732764.0,72000.0,83.33333333333333,0.0,61.0,6.85,0.0,,,,
2022-02-03,7732749.0,86400.0,100.0,0.0,22.0,10.458333333333334,0.0,,,,
2022-02-12,7732568.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-02-19,7732572.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-03-03,7732726.0,86400.0,100.0,0.0,16.0,7.75,0.0,,,,
2022-02-06,7732696.0,86400.0,100.0,0.0,7.0,4.583333333333333,0.0,,,,
2022-03-07,7732703.0,82800.0,95.83333333333333,0.0,45.0,6.478260869565218,0.0,,,,
2022-02-05,7732706.0,86400.0,100.0,0.0,12.0,4.833333333333333,0.0,,,,
2022-02-06,7732766.0,86400.0,100.0,0.0,10.0,7.75,0.0,,,,
2022-03-10,7732673.0,82800.0,95.83333333333333,0.0,7.0,4.608695652173913,0.0,,,,
2022-03-11,7732660.0,86400.0,100.0,0.0,68.0,9.208333333333334,0.0,,,,
