begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,ifInOctets,ifInPackets,ifOutOctets,ifOutPackets,ifInErrors,ifOutFragPackets,ifOutFragments,ifInMCastPackets,ifInMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifInDiscardedMCastPackets,ifInDiscardedMCastOctets,ifOutDroppedPackets,ifOutDroppedOctets
2022-03-18,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",262.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,4.166666666666667,217928.0,2853.0,4452.0,106.0,0.0,0.0,0.0,2747.0,213688.0,0.0,0.0,2747.0,213688.0,0.0,0.0
2022-03-17,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",262.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,287205.0,715.0,199678.0,985.0,0.0,0.0,0.0,87.0,6730.0,0.0,0.0,87.0,6730.0,0.0,0.0
2022-03-17,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",263.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,2320006.0,27723.0,2342080.0,21597.0,0.0,0.0,0.0,286.0,22282.0,0.0,0.0,286.0,22282.0,0.0,0.0
2022-03-12,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",264.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,2271736.0,24656.0,2227960.0,17904.0,0.0,0.0,0.0,439.0,34200.0,0.0,0.0,439.0,34200.0,0.0,0.0
2022-03-17,"MRBTS-5084,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",264.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4166666666666667,645580.0,7898.0,637784.0,5910.0,0.0,0.0,0.0,94.0,7336.0,0.0,0.0,94.0,7336.0,0.0,0.0
2022-03-17,"MRBTS-5045,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",265.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.4861111111111111,1502330.0,18434.0,1632600.0,14883.0,0.0,0.0,0.0,146.0,11358.0,0.0,0.0,146.0,11358.0,0.0,0.0
2022-03-17,"MRBTS-5044,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",266.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.3472222222222222,416801803.0,318327.0,43267066.0,191159.0,0.0,0.0,0.0,268.0,20842.0,0.0,0.0,268.0,20842.0,0.0,0.0
2022-03-19,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",86679.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,213791292.0,176404.0,29941863.0,108123.0,0.0,0.0,0.0,112.0,8730.0,0.0,0.0,112.0,8730.0,0.0,0.0
2022-03-19,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",86681.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,225347.0,3129.0,1276773.0,986.0,0.0,0.0,0.0,114.0,8844.0,0.0,0.0,114.0,8844.0,0.0,0.0
2022-03-19,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-2",86684.0,Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,dynamic,0.2777777777777778,1269378.0,13955.0,642316.0,8058.0,0.0,0.0,0.0,114.0,8890.0,0.0,0.0,114.0,8890.0,0.0,0.0
