functionsetid,functionsetname,functionsubsetid,functionsubsetname,supportedperiodminutes,objecttypeid,maeperformanceobjectname,objectname,counterid,countername,counterdescription,counterunit,countertype,counterprecision,timestatisticalmethod,objectstatisticalmethod,formula,visible,defaultmeasured,introducedinversion,node,applicablemode,filter,correlatedfunction,ne,timestatisticalmethod_upper,is_assessing_neighbor,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73394009,VS.HHO.SuccOutInterRNCIur.PS.NCell,Number of Successful PS Outgoing Inter-RNC Inter-Cell Hard Handovers,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73394010,VS.HHO.FailOutInterRNCIur.CfgUnsup.PS.NCell,Number of Failed PS Outgoing Inter-RNC Inter-Cell Hard Handovers (Configuration Unsupported),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73394011,VS.HHO.FailOutInterRNCIur.PhyChFail.PS.NCell,Number of Failed PS Outgoing Inter-RNC Inter-Cell Hard Handovers (Physical Channel Failure),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73394026,VS.HHO.AttOutInterRNCCN.CS.NCell,Number of Outgoing UE-Involved SRNS Relocation Executions Triggered by CS HHO,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73394033,VS.HHO.FailRelocPrepOutInterRNCCN.TgtF.PS.NCell,Number of Failed Outgoing UE-Involved SRNS Relocation Preparations Triggered by PS HHO (Relocation Failure in Target CN/RNC or Target System),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430191,VS.IRATHO.AttRelocPrepOutPS.LCELL,Number of Attempts for U2L PS Handovers per LTE Cell,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430207,VS.IRATHO.SuccRelocPrepOutPS.LCELL,Number of Successful Preparations for U2L PS Handovers per LTE Cell,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430208,VS.IRATHO.FailRelocPrepOutPS.NoResAvail.LCELL,Number of Failed Preparations for U2L PS Handovers per LTE Cell (No Resource Available),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430209,VS.IRATHO.FailRelocPrepOutPS.TgtFail.LCELL,Number of Failed Preparations for U2L PS Handovers per LTE Cell (Relocation Failure in Target CN/RNC or Target System),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430210,VS.IRATHO.FailRelocPrepOutPS.ReloUnSupp.LCELL,Number of Failed Preparations for U2L PS Handovers per LTE Cell (Relocation not supported in Target RNC or Target system),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430211,VS.IRATHO.FailRelocPrepOutPS.TgtHighLoad.LCELL,Number of Failed Preparations for U2L PS Handovers per LTE Cell (Traffic Load In The Target Cell Higher Than In The Source Cell),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109373,Measurements Related to Inter-RAT Handover,82864164,UMTS Cell-to-LTE Cell Handover Measurement,15/60/1440,82865736,?/UCELL_LCELL:Label=?! CellID=?! LogicRNCID=?/MCC:?/MNC:?:?:?,Measurement of UMTS Cell-to-LTE Cell Handover Performance,73430212,VS.IRATHO.FailRelocPrepOutPS.UnKnowRNC.LCELL,Number of Failed Preparations for U2L PS Handovers per LTE Cell (Unknown Target RNC),None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
