begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-15,21313.0,1440.0,100.0,5797.0,348.0,0.0,353.0,0.0,0.0,0.0,182.0,0.0
2022-03-15,21344.0,1440.0,100.0,8418.0,1287.0,0.0,1532.0,0.0,0.0,0.0,1036.0,0.0
2022-03-19,21310.0,1311.0,91.04166666666667,18321.0,93.0,0.0,138.0,0.0,0.0,0.0,862.0,0.0
2022-03-11,21346.0,1440.0,100.0,3475.0,1422.0,0.0,636.0,0.0,0.0,0.0,391.0,0.0
2022-03-18,21345.0,1440.0,100.0,67.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2022-03-13,21363.0,1440.0,100.0,21921.0,1715.0,0.0,2427.0,0.0,0.0,0.0,2458.0,0.0
2022-03-16,21305.0,1440.0,100.0,11068.0,283.0,0.0,677.0,0.0,0.0,0.0,1422.0,0.0
2022-03-15,21387.0,1440.0,100.0,3759.0,1407.0,0.0,767.0,0.0,0.0,0.0,10.0,0.0
2022-03-16,21328.0,1440.0,100.0,6637.0,903.0,0.0,614.0,0.0,0.0,0.0,178.0,0.0
2022-03-12,21327.0,1402.0,97.36111111111111,1146.0,25.0,0.0,8.0,0.0,0.0,0.0,15.0,0.0
2022-03-16,21353.0,1440.0,100.0,8269.0,669.0,0.0,717.0,0.0,0.0,0.0,150.0,0.0
2022-03-13,21379.0,1440.0,100.0,30226.0,1255.0,0.0,1296.0,0.0,0.0,0.0,898.0,0.0
2022-03-19,21359.0,1310.0,90.97222222222223,7403.0,469.0,0.0,688.0,0.0,0.0,0.0,1588.0,0.0
2022-03-19,21381.0,1310.0,90.97222222222223,7715.0,2587.0,0.0,1381.0,0.0,0.0,0.0,1400.0,0.0
2022-03-11,21314.0,1440.0,100.0,14371.0,1143.0,0.0,1518.0,0.0,0.0,0.0,1996.0,0.0
2022-03-16,21327.0,1400.0,97.22222222222223,1224.0,26.0,0.0,22.0,0.0,0.0,0.0,19.0,0.0
2022-03-12,21353.0,1440.0,100.0,9802.0,696.0,0.0,698.0,0.0,0.0,0.0,258.0,0.0
2022-03-13,21341.0,1440.0,100.0,41344.0,4977.0,0.0,3401.0,0.0,0.0,0.0,604.0,0.0
2022-03-13,21351.0,1404.0,97.5,29854.0,1155.0,0.0,1094.0,0.0,0.0,0.0,1147.0,0.0
2022-03-16,21330.0,1399.0,97.15277777777777,25832.0,1100.0,0.0,2052.0,0.0,0.0,0.0,2731.0,0.0
2022-03-14,21393.0,1440.0,100.0,45820.0,1762.0,0.0,1596.0,0.0,0.0,0.0,1974.0,0.0
2022-03-11,21360.0,1440.0,100.0,20866.0,2412.0,0.0,1885.0,0.0,0.0,0.0,468.0,0.0
2022-03-17,21322.0,1440.0,100.0,43767.0,589.0,0.0,889.0,0.0,0.0,0.0,1701.0,0.0
2022-03-15,21350.0,1440.0,100.0,3055.0,5381.0,0.0,2145.0,0.0,0.0,0.0,155.0,0.0
2022-03-11,21313.0,1440.0,100.0,6158.0,270.0,0.0,297.0,0.0,0.0,0.0,132.0,0.0
2022-03-13,21360.0,1397.0,97.01388888888889,19469.0,1451.0,0.0,1654.0,0.0,0.0,0.0,333.0,0.0
2022-03-16,21318.0,1421.0,98.68055555555556,18162.0,496.0,0.0,606.0,0.0,0.0,0.0,553.0,0.0
2022-03-17,21306.0,1440.0,100.0,1146.0,49.0,0.0,149.0,0.0,0.0,0.0,133.0,0.0
2022-03-14,21390.0,1440.0,100.0,12015.0,1084.0,0.0,1431.0,0.0,0.0,0.0,1545.0,0.0
2022-03-14,21318.0,1422.0,98.75,14824.0,538.0,0.0,637.0,0.0,0.0,0.0,602.0,0.0
2022-03-15,21364.0,1440.0,100.0,4493.0,248.0,0.0,363.0,0.0,0.0,0.0,501.0,0.0
2022-03-18,21375.0,1440.0,100.0,3647.0,193.0,0.0,144.0,0.0,0.0,0.0,235.0,0.0
2022-03-17,21351.0,1375.0,95.48611111111111,31403.0,724.0,0.0,1245.0,0.0,0.0,0.0,1200.0,0.0
2022-03-12,21312.0,1440.0,100.0,42219.0,1804.0,0.0,3268.0,0.0,0.0,0.0,6875.0,0.0
2022-03-19,21337.0,1380.0,95.83333333333333,17436.0,825.0,0.0,912.0,0.0,0.0,0.0,532.0,0.0
2022-03-11,21311.0,1440.0,100.0,419.0,431.0,0.0,206.0,0.0,0.0,0.0,66.0,0.0
2022-03-19,21355.0,1380.0,95.83333333333333,6821.0,4630.0,0.0,2167.0,0.0,0.0,0.0,1006.0,0.0
2022-03-13,21376.0,1440.0,100.0,19470.0,1509.0,0.0,1709.0,0.0,0.0,0.0,2963.0,0.0
2022-03-19,21307.0,1311.0,91.04166666666667,3256.0,140.0,0.0,201.0,0.0,0.0,0.0,463.0,0.0
2022-03-19,21349.0,1380.0,95.83333333333333,1481.0,32.0,0.0,72.0,0.0,0.0,0.0,301.0,0.0
2022-03-17,21393.0,1440.0,100.0,51048.0,3007.0,0.0,1865.0,0.0,0.0,0.0,2992.0,0.0
2022-03-12,21356.0,1340.0,93.05555555555556,17881.0,1122.0,0.0,1367.0,0.0,0.0,0.0,3112.0,0.0
2022-03-12,21319.0,1402.0,97.36111111111111,1320.0,27.0,0.0,41.0,0.0,0.0,0.0,136.0,0.0
2022-03-12,21349.0,1440.0,100.0,1412.0,17.0,0.0,45.0,0.0,0.0,0.0,274.0,0.0
