begintime,sk_object,duration,integrity,67189907,67189908,73394034,73394035,73394036,73394037,73394038,67183495,67183496,67183497,67183498,73394039
2022-03-01,7591803.0,64800.0,75.0,3.0,0.0,84.0,0.0,84.0,80.0,0.0,80.0,76.0,0.0,0.0,0.0
2022-03-03,7583584.0,79200.0,91.66666666666667,27.0,0.0,907.0,0.0,907.0,903.0,0.0,903.0,869.0,4.0,4.0,0.0
2022-02-06,34968484.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-12,7847829.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-03-10,7586952.0,50400.0,58.333333333333336,0.0,0.0,72.0,0.0,72.0,71.0,0.0,71.0,71.0,1.0,1.0,0.0
2022-03-13,7845794.0,36000.0,41.666666666666664,0.0,0.0,14.0,0.0,14.0,13.0,0.0,13.0,13.0,1.0,1.0,0.0
2022-03-01,7592657.0,64800.0,75.0,2.0,0.0,583.0,0.0,583.0,579.0,0.0,579.0,576.0,4.0,4.0,0.0
2022-02-19,7585857.0,75600.0,87.5,0.0,0.0,135.0,0.0,135.0,133.0,0.0,133.0,132.0,0.0,0.0,0.0
2022-02-13,7585646.0,61200.0,70.83333333333333,5.0,0.0,62.0,0.0,62.0,61.0,0.0,61.0,56.0,1.0,1.0,0.0
2022-03-11,7588364.0,64800.0,75.0,1.0,0.0,131.0,0.0,131.0,130.0,0.0,130.0,129.0,0.0,0.0,0.0
2022-03-15,30646227.0,7200.0,8.333333333333334,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-03-15,7583593.0,46800.0,54.166666666666664,0.0,0.0,35.0,0.0,35.0,35.0,0.0,35.0,35.0,1.0,0.0,0.0
2022-02-04,7585951.0,61200.0,70.83333333333333,1.0,0.0,82.0,0.0,82.0,82.0,0.0,82.0,80.0,0.0,0.0,0.0
2022-02-18,7584164.0,21600.0,25.0,0.0,0.0,10.0,0.0,10.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0
2022-03-13,11917409.0,39600.0,45.833333333333336,0.0,0.0,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0
2022-03-06,9316121.0,28800.0,33.333333333333336,0.0,0.0,16.0,0.0,16.0,16.0,0.0,16.0,15.0,0.0,0.0,0.0
2022-02-11,8079582.0,32400.0,37.5,1.0,0.0,12.0,0.0,12.0,12.0,0.0,12.0,11.0,0.0,0.0,0.0
2022-02-03,10190115.0,10800.0,12.5,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-03-11,7584418.0,61200.0,70.83333333333333,1.0,0.0,56.0,0.0,56.0,56.0,0.0,56.0,55.0,1.0,1.0,0.0
2022-02-19,7589015.0,18000.0,20.833333333333332,0.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0
2022-02-08,7590836.0,68400.0,79.16666666666667,2.0,0.0,224.0,0.0,224.0,221.0,0.0,221.0,219.0,2.0,2.0,0.0
2022-03-15,7583331.0,57600.0,66.66666666666667,0.0,0.0,52.0,0.0,52.0,52.0,0.0,52.0,52.0,1.0,1.0,0.0
2022-02-11,7585476.0,68400.0,79.16666666666667,7.0,0.0,207.0,0.0,207.0,205.0,0.0,205.0,198.0,2.0,2.0,0.0
2022-02-17,9596038.0,43200.0,50.0,4.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,26.0,0.0,0.0,0.0
2022-02-04,7592220.0,72000.0,83.33333333333333,16.0,0.0,667.0,0.0,667.0,658.0,0.0,658.0,640.0,1.0,0.0,0.0
2022-02-11,7591967.0,72000.0,83.33333333333333,7.0,0.0,600.0,0.0,600.0,598.0,0.0,598.0,589.0,2.0,1.0,0.0
2022-02-13,7582512.0,25200.0,29.166666666666668,0.0,0.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0
2022-02-19,9602863.0,43200.0,50.0,0.0,0.0,19.0,0.0,19.0,19.0,0.0,19.0,18.0,0.0,0.0,0.0
2022-02-13,7589207.0,57600.0,66.66666666666667,0.0,0.0,44.0,0.0,44.0,44.0,0.0,44.0,44.0,1.0,1.0,0.0
2022-02-11,7589319.0,79200.0,91.66666666666667,9.0,0.0,1011.0,0.0,1011.0,1005.0,0.0,1005.0,993.0,4.0,4.0,0.0
2022-03-01,7587727.0,64800.0,75.0,2.0,0.0,208.0,0.0,208.0,206.0,0.0,206.0,202.0,0.0,0.0,0.0
2022-02-06,7589542.0,68400.0,79.16666666666667,4.0,0.0,107.0,0.0,107.0,106.0,0.0,106.0,101.0,0.0,0.0,0.0
2022-02-10,7591273.0,57600.0,66.66666666666667,1.0,0.0,57.0,0.0,57.0,57.0,0.0,57.0,53.0,1.0,1.0,0.0
2022-03-02,7588514.0,61200.0,70.83333333333333,1.0,0.0,67.0,0.0,67.0,66.0,0.0,66.0,64.0,0.0,0.0,0.0
2022-02-17,7588877.0,57600.0,66.66666666666667,2.0,0.0,158.0,0.0,158.0,157.0,0.0,157.0,155.0,0.0,0.0,0.0
2022-02-04,7587414.0,64800.0,75.0,0.0,0.0,99.0,0.0,99.0,99.0,0.0,99.0,99.0,3.0,3.0,0.0
2022-03-15,9892152.0,25200.0,29.166666666666668,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0
2022-03-12,17710121.0,7200.0,8.333333333333334,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-02-12,7592291.0,39600.0,45.833333333333336,0.0,0.0,19.0,0.0,19.0,19.0,0.0,19.0,19.0,0.0,0.0,0.0
2022-02-19,9604945.0,32400.0,37.5,0.0,0.0,9.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0
2022-02-12,9321025.0,54000.0,62.5,1.0,0.0,18.0,0.0,18.0,18.0,0.0,18.0,17.0,0.0,0.0,0.0
2022-02-08,7590059.0,36000.0,41.666666666666664,1.0,0.0,17.0,0.0,17.0,17.0,0.0,17.0,16.0,0.0,0.0,0.0
2022-02-19,9598747.0,10800.0,12.5,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-03-14,7589627.0,54000.0,62.5,0.0,0.0,52.0,0.0,52.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0
2022-03-14,7584594.0,61200.0,70.83333333333333,0.0,0.0,57.0,0.0,57.0,57.0,0.0,57.0,56.0,1.0,1.0,0.0
2022-03-06,9899530.0,61200.0,70.83333333333333,0.0,0.0,181.0,0.0,181.0,180.0,0.0,180.0,180.0,0.0,0.0,0.0
2022-03-02,7587812.0,75600.0,87.5,8.0,0.0,478.0,0.0,478.0,477.0,0.0,477.0,467.0,2.0,1.0,0.0
2022-03-14,7585240.0,36000.0,41.666666666666664,0.0,0.0,21.0,0.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0
2022-03-15,7589978.0,57600.0,66.66666666666667,5.0,0.0,304.0,0.0,304.0,302.0,0.0,302.0,293.0,1.0,1.0,0.0
2022-02-18,9323378.0,46800.0,54.166666666666664,0.0,0.0,37.0,0.0,37.0,37.0,0.0,37.0,37.0,1.0,0.0,0.0
2022-02-06,7588431.0,46800.0,54.166666666666664,6.0,0.0,26.0,0.0,26.0,26.0,0.0,26.0,19.0,0.0,0.0,0.0
2022-03-11,11639897.0,10800.0,12.5,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
2022-02-13,9320531.0,18000.0,20.833333333333332,1.0,0.0,6.0,0.0,6.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0
2022-02-20,9605269.0,36000.0,41.666666666666664,0.0,0.0,14.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0
2022-02-03,7584571.0,64800.0,75.0,0.0,0.0,60.0,0.0,60.0,59.0,0.0,59.0,59.0,0.0,0.0,0.0
2022-03-03,7584452.0,64800.0,75.0,2.0,0.0,125.0,0.0,125.0,125.0,0.0,125.0,122.0,2.0,2.0,0.0
2022-02-04,10491118.0,32400.0,37.5,1.0,0.0,11.0,0.0,11.0,10.0,0.0,10.0,9.0,0.0,0.0,0.0
2022-03-07,9606139.0,50400.0,58.333333333333336,1.0,0.0,28.0,0.0,28.0,26.0,0.0,26.0,25.0,1.0,1.0,0.0
2022-02-04,7587331.0,64800.0,75.0,2.0,0.0,82.0,0.0,82.0,81.0,0.0,81.0,78.0,0.0,0.0,0.0
2022-02-17,11349017.0,18000.0,20.833333333333332,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0
2022-03-13,7586016.0,64800.0,75.0,4.0,0.0,53.0,0.0,53.0,53.0,0.0,53.0,49.0,0.0,0.0,0.0
2022-03-11,9600873.0,64800.0,75.0,0.0,0.0,82.0,0.0,82.0,81.0,0.0,81.0,81.0,0.0,0.0,0.0
2022-03-14,11917712.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-06,7590821.0,61200.0,70.83333333333333,1.0,0.0,65.0,0.0,65.0,64.0,0.0,64.0,62.0,0.0,0.0,0.0
2022-03-15,7849134.0,57600.0,66.66666666666667,0.0,0.0,67.0,0.0,67.0,66.0,0.0,66.0,64.0,0.0,0.0,0.0
