begintime,sk_object,duration,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-11 00:00:00,23221.0,15,0.0,0.0,832.0,2.0,6987073840.0,9203983.0,81344.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23222.0,15,0.0,0.0,0.0,0.0,7893685360.0,460640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23223.0,15,0.0,0.0,0.0,0.0,1261566040.0,157412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23224.0,15,0.0,0.0,2690480.0,1293.0,7522922720.0,20582092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23225.0,15,0.0,0.0,0.0,0.0,4243315720.0,3338380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23226.0,15,0.0,0.0,320.0,62.0,656488576.0,93133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23227.0,15,0.0,0.0,0.0,0.0,66543248.0,12519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23228.0,15,0.0,0.0,0.0,0.0,350079880.0,39058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23229.0,15,0.0,0.0,57984.0,8.0,11298864.0,14570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23230.0,15,0.0,0.0,184184.0,15.0,7608776504.0,1793708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23231.0,15,0.0,0.0,0.0,0.0,229424440.0,25417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23232.0,15,0.0,0.0,0.0,0.0,88582872.0,14861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23233.0,15,0.0,0.0,920.0,1.0,13446104.0,2769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23234.0,15,0.0,0.0,0.0,0.0,3112768.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23235.0,15,0.0,0.0,0.0,0.0,526378640.0,65577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23236.0,15,0.0,0.0,0.0,0.0,1073388272.0,409025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23237.0,15,0.0,0.0,381320.0,66.0,1439679528.0,393938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23238.0,15,0.0,0.0,242400.0,34.0,3235130096.0,500075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23239.0,15,0.0,0.0,16.0,1.0,5355330704.0,1298339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23240.0,15,0.0,0.0,0.0,0.0,956145624.0,240759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23241.0,15,0.0,0.0,0.0,0.0,39511928.0,2983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23242.0,15,0.0,0.0,0.0,0.0,15696688.0,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23243.0,15,0.0,0.0,0.0,0.0,518728232.0,125698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23244.0,15,0.0,0.0,0.0,0.0,1114211112.0,1503716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23245.0,15,0.0,0.0,0.0,0.0,127059848.0,13336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23246.0,15,0.0,0.0,0.0,0.0,2074188640.0,280385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23247.0,15,0.0,0.0,0.0,0.0,40558400.0,2194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23248.0,15,0.0,0.0,0.0,0.0,10716440.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23249.0,15,0.0,0.0,0.0,0.0,8994192.0,10971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23250.0,15,0.0,0.0,0.0,0.0,411053456.0,133932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23251.0,15,0.0,0.0,1152.0,3.0,4078623032.0,2878209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23252.0,15,0.0,0.0,1619688.0,1081.0,790423128.0,176703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23253.0,15,0.0,0.0,52664.0,108.0,871507656.0,1586222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23254.0,15,0.0,0.0,0.0,0.0,1116567896.0,125451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23255.0,15,0.0,0.0,13800.0,3.0,114585080.0,44714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23256.0,15,0.0,0.0,0.0,0.0,532896816.0,115340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23257.0,15,0.0,0.0,0.0,0.0,555270352.0,37418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23258.0,15,0.0,0.0,0.0,0.0,212310168.0,47497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:00:00,23259.0,15,0.0,0.0,445488.0,117.0,1648852456.0,1132392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23167.0,15,0.0,0.0,0.0,0.0,1506222232.0,562829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23168.0,15,0.0,0.0,2081736.0,6465.0,2168427464.0,130217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23169.0,15,0.0,0.0,0.0,0.0,1769684760.0,166324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23170.0,15,0.0,0.0,0.0,0.0,266278504.0,15702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23171.0,15,0.0,0.0,0.0,0.0,496396096.0,34246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23172.0,15,0.0,0.0,0.0,0.0,376017016.0,69795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23173.0,15,0.0,0.0,0.0,0.0,499943896.0,42667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23174.0,15,0.0,0.0,0.0,0.0,107546472.0,8456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23175.0,15,0.0,0.0,0.0,0.0,3792720.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23176.0,15,0.0,0.0,5376.0,3.0,2425766352.0,423043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23177.0,15,0.0,0.0,0.0,0.0,4621179456.0,9299877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23178.0,15,0.0,0.0,7082400.0,633.0,29897016.0,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23179.0,15,0.0,0.0,735104.0,236.0,376215600.0,35524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23180.0,15,0.0,0.0,0.0,0.0,48779432.0,11094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23181.0,15,0.0,0.0,0.0,0.0,80855976.0,22386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23182.0,15,0.0,0.0,33096.0,9.0,161308736.0,304104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11 00:15:00,23183.0,15,0.0,0.0,0.0,0.0,16847240.0,3085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
