begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-14,15639.0,1440.0,100.0,9039744.0,662359448.0,7006031.0,594041888.0
2022-03-12,15633.0,1440.0,100.0,7761697.0,552612528.0,4219176.0,149804808.0
2022-03-14,15641.0,1440.0,100.0,4245689.0,299739224.0,2733478.0,196805312.0
2022-03-13,15645.0,1440.0,100.0,3183662.0,222485556.0,1848674.0,97538692.0
2022-03-11,15642.0,1440.0,100.0,4206281.0,286656616.0,2740104.0,161065448.0
2022-03-18,15628.0,1440.0,100.0,7960590.0,568208724.0,4210528.0,166924096.0
2022-03-14,15627.0,1422.0,98.75,12580589.0,866079412.0,8328202.0,611164812.0
2022-03-11,15643.0,1440.0,100.0,7412477.0,531368204.0,3777187.0,119427204.0
2022-03-11,15633.0,1440.0,100.0,7688998.0,547193024.0,4091906.0,141251732.0
2022-03-12,15636.0,1440.0,100.0,9276466.0,663717940.0,5186048.0,274415436.0
2022-03-11,15644.0,1440.0,100.0,12886329.0,962085464.0,8134523.0,593735704.0
2022-03-16,15643.0,1440.0,100.0,7068533.0,506270812.0,3600374.0,115160468.0
2022-03-15,15627.0,1380.0,95.83333333333333,13308967.0,923948692.0,8837806.0,639453836.0
2022-03-18,15643.0,1440.0,100.0,7321304.0,523924324.0,3739885.0,125082456.0
2022-03-17,15644.0,1440.0,100.0,12576629.0,939112864.0,7938460.0,575390996.0
