begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,4G traffic,id
2022-02-02,Cell Name=4G_KENEMA_MFS-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,228905062128.0,228905062128.0,163
2022-02-02,Cell Name=4G_KENEMA_MFS-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,116291192728.0,116291192728.0,164
2022-02-02,Cell Name=4G_KENEMA_MFS-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,183340748912.0,183340748912.0,165
2022-02-02,Cell Name=4G_KENEMATOWN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,903349963256.0,903349963256.0,166
2022-02-02,Cell Name=4G_KENEMATOWN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,461525760832.0,461525760832.0,167
2022-02-02,Cell Name=4G_KENEMATOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,396525282776.0,396525282776.0,168
2022-02-02,Cell Name=4G_KENEMATOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,193388584560.0,193388584560.0,169
2022-02-02,Cell Name=4G_KENNEDYSTREET-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,281387538104.0,281387538104.0,170
2022-02-02,Cell Name=4G_KENNEDYSTREET-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,321658320464.0,321658320464.0,171
2022-02-02,Cell Name=4G_KENNEDYSTREET-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,402257213792.0,402257213792.0,172
2022-02-02,Cell Name=4G_KENNEDYSTREET-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,536063879000.0,536063879000.0,173
2022-02-02,Cell Name=4G_KENNEDYSTREET-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,411739112848.0,411739112848.0,174
2022-02-02,Cell Name=4G_KENNEDYSTREET-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,406185138224.0,406185138224.0,175
2022-02-02,Cell Name=4G_KINGHARMAN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,461228475912.0,461228475912.0,176
2022-02-02,Cell Name=4G_KINGHARMAN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,298324278448.0,298324278448.0,177
2022-02-02,Cell Name=4G_KINGHARMAN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,228022885344.0,228022885344.0,178
2022-02-02,Cell Name=4G_KINGHARMAN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,580735609768.0,580735609768.0,179
2022-02-02,Cell Name=4G_KINGHARMAN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,207801216040.0,207801216040.0,180
2022-02-02,Cell Name=4G_KINGHARMAN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,316688086328.0,316688086328.0,181
2022-02-02,Cell Name=4G_KINGTOM_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,140327444976.0,140327444976.0,182
2022-02-02,Cell Name=4G_KINGTOM_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,344031762720.0,344031762720.0,183
2022-02-02,Cell Name=4G_KINGTOM_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,320600525704.0,320600525704.0,184
