begintime,sk_object,duration,integrity,73422157,73423829,73423830,73430523,73430526,73440118,73446392,73446393,73448317
2022-02-10,7527912.0,86400.0,100.0,0.0,2760900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527931.0,86400.0,100.0,12.0,0.0,0.0,304.0,0.0,7.458333333333333,270.0,0.0,11.0
2022-03-13,7527930.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527927.0,86400.0,100.0,0.0,6772862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527912.0,86400.0,100.0,0.0,2706615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527912.0,86400.0,100.0,0.0,2568566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527916.0,86400.0,100.0,22.0,0.0,0.0,316.0,200.0,13.208333333333334,286.0,168.0,3135.6666666666665
2022-03-11,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527908.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527918.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527926.0,86400.0,100.0,21.0,0.0,0.0,405.0,69.0,11.916666666666666,361.0,47.0,5210.916666666667
2022-03-14,7527925.0,86400.0,100.0,26.0,0.0,0.0,389.0,150.0,13.75,349.0,122.0,2456.5
2022-02-12,7527927.0,86400.0,100.0,0.0,6727206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527930.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527919.0,86400.0,100.0,0.0,3687048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527920.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527925.0,75600.0,87.5,25.0,0.0,0.0,362.0,141.0,14.523809523809524,324.0,112.0,2604.3333333333335
2022-03-02,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527934.0,86400.0,100.0,0.0,1954492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527917.0,3600.0,4.166666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0
2022-02-20,7527932.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527908.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
