begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-12 07:00:00,15746.0,60.0,100.0,32657.0,-6235.0,200.0,6588.0,3371.0
2022-03-11 01:00:00,15738.0,60.0,100.0,57599.0,-89.0,-20.75,0.0,3600.0
2022-03-12 07:00:00,15743.0,60.0,100.0,57600.0,15.0,62.25,97.0,3600.0
2022-03-11 09:00:00,15731.0,60.0,100.0,57599.0,-23.0,6.5,32.0,3600.0
2022-03-12 00:00:00,15745.0,60.0,100.0,57600.0,-374.0,-172.5,-75.0,3600.0
2022-03-11 23:00:00,15741.0,60.0,100.0,57339.0,3686.0,7497.5,32583.0,3600.0
2022-03-12 03:00:00,15738.0,60.0,100.0,57599.0,-38.0,-7.0,34.0,3600.0
2022-03-11 11:00:00,15729.0,60.0,100.0,57556.0,0.0,51.5,67.0,3600.0
2022-03-11 22:00:00,15733.0,60.0,100.0,56455.0,-5581.0,37157.0,120725.0,3600.0
2022-03-11 17:00:00,15743.0,60.0,100.0,57584.0,-242.0,-160.0,-130.0,3600.0
2022-03-12 09:00:00,15731.0,60.0,100.0,57599.0,7.0,59.0,113.0,3601.0
2022-03-12 09:00:00,15730.0,60.0,100.0,37413.0,-5229794.0,-1056674.25,136523.0,3402.0
2022-03-11 12:00:00,15732.0,60.0,100.0,57600.0,21.0,237.25,439.0,3600.0
2022-03-11 19:00:00,15734.0,60.0,100.0,57555.0,-132.0,-103.0,-57.0,3600.0
2022-03-11 03:00:00,15745.0,60.0,100.0,57600.0,-259.0,-145.5,-54.0,3600.0
2022-03-11 22:00:00,15730.0,60.0,100.0,42125.0,-178202.0,36083.75,231970.0,3380.0
2022-03-11 13:00:00,15734.0,60.0,100.0,57576.0,57.0,80.25,102.0,3600.0
2022-03-11 06:00:00,15744.0,60.0,100.0,57597.0,-53.0,17.0,73.0,3600.0
2022-03-11 04:00:00,15745.0,60.0,100.0,57600.0,-113.0,-84.5,-37.0,3600.0
2022-03-11 11:00:00,15736.0,60.0,100.0,57599.0,306.0,330.25,371.0,3600.0
2022-03-12 09:00:00,15732.0,60.0,100.0,31149.0,-41235.0,53655.75,204938.0,3126.0
2022-03-11 09:00:00,15745.0,60.0,100.0,57597.0,92.0,122.0,134.0,3600.0
2022-03-12 08:00:00,15745.0,60.0,100.0,57597.0,-8.0,10.75,39.0,3600.0
2022-03-12 03:00:00,15729.0,60.0,100.0,57600.0,-17.0,-7.5,3.0,3600.0
2022-03-11 08:00:00,15738.0,60.0,100.0,57599.0,-37.0,-5.75,4.0,3600.0
2022-03-11 04:00:00,15736.0,60.0,100.0,57600.0,-118.0,-85.5,-40.0,3600.0
2022-03-11 02:00:00,15735.0,60.0,100.0,57600.0,-3217.0,-1154.75,1620.0,3600.0
2022-03-11 12:00:00,15741.0,60.0,100.0,57600.0,-86.0,20.5,117.0,3600.0
2022-03-11 20:00:00,15737.0,60.0,100.0,27289.0,-33698.0,-2856.25,2507.0,3107.0
2022-03-11 17:00:00,15739.0,60.0,100.0,57600.0,-639.0,-277.0,113.0,3600.0
2022-03-11 13:00:00,15738.0,60.0,100.0,57599.0,-12.0,21.25,63.0,3600.0
2022-03-11 02:00:00,15736.0,60.0,100.0,57600.0,-209.0,-161.75,-126.0,3600.0
2022-03-11 04:00:00,15747.0,60.0,100.0,57599.0,-35.0,37.75,94.0,3600.0
2022-03-11 07:00:00,15730.0,60.0,100.0,57085.0,-249.0,615.75,1626.0,3600.0
2022-03-12 08:00:00,15740.0,60.0,100.0,35608.0,-66586.0,3070.25,45556.0,3240.0
2022-03-12 07:00:00,15747.0,60.0,100.0,57600.0,-68.0,50.75,143.0,3600.0
2022-03-12 05:00:00,15742.0,60.0,100.0,25040.0,-44852.0,-4248.5,1124.0,2650.0
2022-03-11 01:00:00,15741.0,60.0,100.0,57600.0,-6135.0,-3008.0,-755.0,3600.0
2022-03-11 22:00:00,15737.0,60.0,100.0,57475.0,-221.0,148.5,645.0,3600.0
2022-03-11 10:00:00,15734.0,60.0,100.0,57583.0,-112.0,-69.5,-18.0,3600.0
2022-03-11 21:00:00,15735.0,60.0,100.0,13467.0,-105401.0,-3067.0,0.0,2915.0
2022-03-11 05:00:00,15736.0,60.0,100.0,57600.0,-77.0,-46.75,-8.0,3600.0
2022-03-12 00:00:00,15729.0,60.0,100.0,57599.0,-414.0,-191.0,-131.0,3600.0
2022-03-12 01:00:00,15747.0,60.0,100.0,57601.0,-58.0,-26.0,-7.0,3600.0
2022-03-11 10:00:00,15747.0,60.0,100.0,57600.0,8.0,35.75,68.0,3600.0
2022-03-11 11:00:00,15740.0,60.0,100.0,57598.0,0.0,16.25,75.0,3600.0
2022-03-11 08:00:00,15741.0,60.0,100.0,57600.0,-84.0,8.5,74.0,3600.0
2022-03-11 14:00:00,15733.0,60.0,100.0,57600.0,89.0,191.25,272.0,3600.0
2022-03-12 03:00:00,15740.0,60.0,100.0,57600.0,-100.0,-32.5,1.0,3600.0
2022-03-11 07:00:00,15734.0,60.0,100.0,57589.0,-10.0,16.25,48.0,3600.0
2022-03-11 06:00:00,15731.0,60.0,100.0,57601.0,35.0,108.75,145.0,3599.0
2022-03-12 05:00:00,15730.0,22.0,36.666666666666664,22077.0,-53688.0,-19892.5,0.0,1382.0
2022-03-11 06:00:00,15733.0,60.0,100.0,57601.0,-168.0,-78.0,-27.0,3600.0
2022-03-11 13:00:00,15729.0,60.0,100.0,57599.0,-30.0,35.25,105.0,3600.0
