begintime,ne_name,4G Traffic ,sum_L.Thrp.bits.DL,sum_PDCP_SDU_VOL_DL,contribution,count,target_without_worst_nes
2022-03-06,"4G_SLCB_II/Cell:eNodeB Function Name=4G_SLCB_II, Local Cell ID=1, Cell Name=4G_SLCB_II-2, eNodeB ID=5002, Cell FDD TDD indication=CELL_FDD",18300.327,146402619320.0,0,0.0007177026210933945,64,24916586.509778
2022-03-06,"4G_PORTLOKO_SLMINING/Cell:eNodeB Function Name=4G_PORTLOKO_SLMINING, Local Cell ID=2, Cell Name=4G_PORTLOKO_SLMINING-2, eNodeB ID=5105, Cell FDD TDD indication=CELL_FDD",18816.359,150530869912.0,0,0.000737940375258556,65,24897770.151039
2022-03-06,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH, Local Cell ID=2, Cell Name=4G_GODERICH-2, eNodeB ID=5016, Cell FDD TDD indication=CELL_FDD",19180.736,153445891312.0,0,0.0007522305203453704,66,24878589.414625
2022-03-06,"4G_KISSY_II/Cell:eNodeB Function Name=4G_KISSY_II, Local Cell ID=1, Cell Name=4G_KISSY_II-1, eNodeB ID=5036, Cell FDD TDD indication=CELL_FDD",19208.346,153666765984.0,0,0.0007533133299240402,67,24859381.068877
2022-03-06,"4G_LAKKA_II/Cell:eNodeB Function Name=4G_LAKKA_II, Local Cell ID=1, Cell Name=4G_LAKKA_II-1, eNodeB ID=5103, Cell FDD TDD indication=CELL_FDD",19506.748,156053982648.0,0,0.0007650160660303136,68,24839874.321046
2022-03-06,"4G_KINGTOM_II/Cell:eNodeB Function Name=4G_KINGTOM_II, Local Cell ID=1, Cell Name=4G_KINGTOM_II-1, eNodeB ID=5058, Cell FDD TDD indication=CELL_FDD",19736.917,157895336344.0,0,0.0007740428388630856,69,24820137.404003
2022-03-06,"4G_REGENT/Cell:eNodeB Function Name=4G_REGENT, Local Cell ID=1, Cell Name=4G_REGENT-1, eNodeB ID=5125, Cell FDD TDD indication=CELL_FDD",19879.726,159037806560.0,0,0.0007796435253216242,70,24800257.678183
2022-03-06,"4G_KENEMA_MFS/Cell:eNodeB Function Name=4G_KENEMA_MFS, Local Cell ID=3, Cell Name=4G_KENEMA_MFS-3, eNodeB ID=5076, Cell FDD TDD indication=CELL_FDD",20859.737,166877899544.0,0,0.0008180776179692779,71,24779397.94074
2022-03-06,"4G_PENDUMA_DOVEFACTORY/Cell:eNodeB Function Name=4G_PENDUMA_DOVEFACTORY, Local Cell ID=1, Cell Name=4G_PENDUMA_DOVEFACTORY-1, eNodeB ID=5114, Cell FDD TDD indication=CELL_FDD",21021.47,168171756880.0,0,0.0008244204662701469,72,24758376.47113
2022-03-06,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II, Local Cell ID=3, Cell Name=4G_COLEFARM_II-3, eNodeB ID=5008, Cell FDD TDD indication=CELL_FDD",21131.228,169049826536.0,0,0.000828724957894038,73,24737245.242813
2022-03-06,"4G_KINGHARMAN/Cell:eNodeB Function Name=4G_KINGHARMAN, Local Cell ID=8, Cell Name=4G_KINGHARMAN-8, eNodeB ID=5054, Cell FDD TDD indication=CELL_FDD",21839.703,174717623472.0,0,0.0008565099458059559,74,24715405.539879
2022-03-06,"4G_SLCB_II/Cell:eNodeB Function Name=4G_SLCB_II, Local Cell ID=7, Cell Name=4G_SLCB_II-7, eNodeB ID=5002, Cell FDD TDD indication=CELL_FDD",22105.345,176842761544.0,0,0.0008669278995218917,75,24693300.194686
2022-03-06,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET, Local Cell ID=1, Cell Name=4G_GODRECHSTREET-1, eNodeB ID=5019, Cell FDD TDD indication=CELL_FDD",22491.04,179928318632.0,0,0.000882054094394946,76,24670809.154857
2022-03-06,"4G_KENEMA_MFS/Cell:eNodeB Function Name=4G_KENEMA_MFS, Local Cell ID=2, Cell Name=4G_KENEMA_MFS-2, eNodeB ID=5076, Cell FDD TDD indication=CELL_FDD",23013.673,184109383656.0,0,0.0009025507267212375,77,24647795.4819
2022-03-06,"4G_LUNGITOWN/Cell:eNodeB Function Name=4G_LUNGITOWN, Local Cell ID=2, Cell Name=4G_LUNGITOWN-2, eNodeB ID=5116, Cell FDD TDD indication=CELL_FDD",23042.612,184340899952.0,0,0.000903685657050724,78,24624752.869406
2022-03-06,"4G_SPURLOOP_II/Cell:eNodeB Function Name=4G_SPURLOOP_II, Local Cell ID=2, Cell Name=4G_SPURLOOP_II-2, eNodeB ID=5039, Cell FDD TDD indication=CELL_FDD",23257.896,186063169320.0,0,0.0009121286696307434,79,24601494.973241
2022-03-06,"4G_SPURROADMILITARY/Cell:eNodeB Function Name=4G_SPURROADMILITARY, Local Cell ID=11, Cell Name=4G_SPURROADMILITARY-11, eNodeB ID=5067, Cell FDD TDD indication=CELL_TDD",23426.524,187412191088.0,0,0.0009187419261911173,80,24578068.449355
2022-03-06,"4G_TORKPOITOWN/Cell:eNodeB Function Name=4G_TORKPOITOWN, Local Cell ID=3, Cell Name=4G_TORKPOITOWN-3, eNodeB ID=5072, Cell FDD TDD indication=CELL_FDD",23563.504,188508030184.0,0,0.0009241140108012652,81,24554504.945582
2022-03-06,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN, Local Cell ID=7, Cell Name=4G_CLINETOWN-7, eNodeB ID=5029, Cell FDD TDD indication=CELL_FDD",24183.014,193464111736.0,0,0.000948409967414148,82,24530321.931615
