begintime,sk_object,duration,integrity,1282423987,1282423988
2022-02-06 22:00:00,630581.0,3600.0,100.0,11.783,11.324
2022-03-10 10:00:00,630582.0,3600.0,100.0,13.725,13.156
2022-03-15 05:00:00,630581.0,3600.0,100.0,1.966,1.752
2022-03-11 14:00:00,630581.0,3600.0,100.0,12.649,12.049
2022-03-14 11:00:00,630582.0,3600.0,100.0,11.394,10.933
2022-03-10 23:00:00,630566.0,3600.0,100.0,6.213,5.839
2022-03-07 05:00:00,630581.0,3600.0,100.0,1.98,1.774
2022-03-02 13:00:00,630567.0,3600.0,100.0,12.183,11.541
2022-02-06 04:00:00,630582.0,3600.0,100.0,1.492,1.328
2022-02-06 23:00:00,630581.0,3600.0,100.0,6.242,5.813
2022-03-10 03:00:00,630566.0,3600.0,100.0,1.357,1.15
2022-02-12 12:00:00,630581.0,3600.0,100.0,12.993,12.33
2022-02-06 10:00:00,630567.0,3600.0,100.0,12.419,11.991
2022-03-15 19:00:00,630581.0,3600.0,100.0,16.411,15.968
2022-02-08 17:00:00,630582.0,3600.0,100.0,13.1,12.48
2022-03-02 11:00:00,630582.0,3600.0,100.0,13.104,12.522
2022-02-19 17:00:00,630567.0,3600.0,100.0,12.713,12.091
2022-02-06 20:00:00,630582.0,3600.0,100.0,17.776,17.452
2022-02-10 08:00:00,630582.0,3600.0,100.0,12.468,12.041
2022-02-11 12:00:00,630566.0,3600.0,100.0,12.463,11.888
2022-02-20 13:00:00,630566.0,3600.0,100.0,12.233,11.641
2022-02-19 03:00:00,630582.0,3600.0,100.0,1.494,1.277
2022-03-11 15:00:00,630566.0,3600.0,100.0,13.265,12.614
2022-03-14 05:00:00,630567.0,3600.0,100.0,1.994,1.762
2022-02-08 11:00:00,630566.0,3600.0,100.0,13.151,12.543
2022-02-06 19:00:00,630582.0,3600.0,100.0,16.933,16.414
2022-02-04 11:00:00,630581.0,3600.0,100.0,13.498,12.968
2022-02-06 08:00:00,630567.0,3600.0,100.0,11.361,11.04
2022-02-10 08:00:00,630581.0,3600.0,100.0,12.465,12.037
