NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=7_14_0_4",MAINBSC,228,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,4,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_5",MAINBSC,229,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,5,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_6",MAINBSC,230,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,6,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_7",MAINBSC,231,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,7,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_8",MAINBSC,232,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,8,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_9",MAINBSC,233,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,9,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_10",MAINBSC,234,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,10,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_11",MAINBSC,235,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,11,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_12",MAINBSC,236,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,12,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_13",MAINBSC,237,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,13,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_14",MAINBSC,238,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,14,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_15",MAINBSC,239,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,15,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_16",MAINBSC,240,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,16,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_17",MAINBSC,241,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,17,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
