begintime,sk_object,50332573,50332574,50342574,50342575,50342635,50342636,duration
2022-03-01 00:00:00,889236.0,1024.0,4.688,0.5,10.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889237.0,1024.0,145.208,88.5,210.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889238.0,512.0,47.492,30.0,90.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889239.0,1024.0,24.271,11.0,72.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889240.0,1024.0,108.721,72.0,156.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889241.0,512.0,29.438,15.5,50.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889242.0,1024.0,186.783,112.5,262.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889243.0,1024.0,131.075,91.0,201.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889244.0,1024.0,84.025,50.5,118.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889245.0,1024.0,64.192,45.0,96.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889246.0,1024.0,130.442,95.5,233.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889247.0,1024.0,2.862,0.5,10.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889248.0,512.0,20.0,12.5,31.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889249.0,1024.0,141.542,96.5,202.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889250.0,1024.0,10.179,5.0,32.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889251.0,512.0,39.704,24.0,73.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889252.0,1024.0,150.467,110.0,201.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889253.0,1024.0,65.183,33.5,141.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889254.0,512.0,43.624,24.0,76.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889255.0,512.0,38.742,24.5,82.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889256.0,256.0,7.821,3.0,14.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889257.0,1024.0,162.392,104.5,229.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889258.0,512.0,34.671,22.0,74.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889259.0,1024.0,152.142,105.0,193.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889260.0,1024.0,68.375,37.0,140.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889261.0,1024.0,25.604,13.0,57.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889262.0,1024.0,135.796,110.5,190.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889263.0,512.0,15.225,0.0,61.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889264.0,1024.0,66.346,36.0,113.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889265.0,1024.0,173.696,118.5,268.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889266.0,512.0,3.405,0.0,25.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889267.0,512.0,44.683,26.5,74.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889268.0,512.0,51.404,32.0,73.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889269.0,1024.0,128.171,100.5,162.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889270.0,1024.0,41.208,18.5,75.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889271.0,512.0,77.671,50.0,160.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889272.0,512.0,67.358,44.0,103.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889273.0,512.0,16.587,7.5,28.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889274.0,1024.0,134.358,95.0,198.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889275.0,1024.0,87.683,42.5,160.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889276.0,512.0,84.037,49.5,136.0,0.0,0.0,PT3600S
