begintime,sk_object,duration,integrity,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2022-03-19,6612.0,16.0,1.1111111111111112,0.0,0.0,55624.0,6.0,1827811128.0,348196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6601.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,6496288.0,6838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6576.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,1605176.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,6575.0,14.0,0.9722222222222222,0.0,0.0,139472.0,4275.0,3841970680.0,1685554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6604.0,7.0,0.4861111111111111,0.0,0.0,9536.0,6.0,943474240.0,60284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,87798.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,1232685824.0,170669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6587.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,7232712.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11,6575.0,13.0,0.9027777777777778,0.0,0.0,6249424.0,2478.0,3346723464.0,4090058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6592.0,10.0,0.6944444444444444,0.0,0.0,0.0,0.0,1590682240.0,309864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-11,6591.0,13.0,0.9027777777777778,0.0,0.0,1833968.0,19902.0,6629303624.0,24838247.0,0.0,0.0,6608.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-12,6600.0,10.0,0.6944444444444444,0.0,0.0,68952.0,1035.0,405701008.0,156832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6583.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,217887968.0,42177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-17,6610.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,1225008.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2022-03-19,6600.0,16.0,1.1111111111111112,0.0,0.0,700032.0,4659.0,2102151368.0,506554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6576.0,6.0,0.4166666666666667,0.0,0.0,132928.0,35.0,2244224.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6586.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,200494904.0,8818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6584.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,39277992.0,13800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-10,6592.0,14.0,0.9722222222222222,0.0,0.0,21424.0,1804.0,1280397352.0,478137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-03,6612.0,10.0,0.6944444444444444,0.0,0.0,123472.0,1133.0,2134871472.0,157997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-06,6599.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,1650408.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6605.0,7.0,0.4861111111111111,0.0,0.0,0.0,0.0,6035568.0,15437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6604.0,7.0,0.4861111111111111,0.0,0.0,9536.0,6.0,943474240.0,60284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-10,87798.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,1232685824.0,170669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6587.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,7232712.0,701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-02,6575.0,13.0,0.9027777777777778,0.0,0.0,6249424.0,2478.0,3346723464.0,4090058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-03,6592.0,10.0,0.6944444444444444,0.0,0.0,0.0,0.0,1590682240.0,309864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-02,6591.0,13.0,0.9027777777777778,0.0,0.0,1833968.0,19902.0,6629303624.0,24838247.0,0.0,0.0,6608.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-03,6600.0,10.0,0.6944444444444444,0.0,0.0,68952.0,1035.0,405701008.0,156832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-15,6592.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,143807760.0,38574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6614.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,263154640.0,39377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6616.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,1935936.0,9782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-19,6591.0,14.0,0.9722222222222222,0.0,0.0,46662360.0,60336.0,10131553952.0,5529608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-19,87807.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,52602440.0,6432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6608.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,889176.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6593.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,352855176.0,70831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
