begintime,sk_object,duration,integrity,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C6,M8038C7,M8038C8,M8038C9,M8038C10,M8038C11,M8038C12,M8038C13,M8038C14,M8038C15,M8038C16,M8038C17,M8038C18,M8038C19,M8038C20,M8038C21,M8038C22,M8038C23,M8038C24,M8038C25,M8038C26,M8038C27,M8038C28,M8038C29,M8038C30,M8038C31,M8038C32,M8038C33,M8038C34,M8038C35,M8038C36,M8038C37,M8038C38,M8038C39,M8038C40,M8038C41,M8038C42,M8038C43,M8038C44,M8038C45,M8038C46,M8038C47,M8038C48,M8038C49,M8038C50,M8038C51,M8038C52,M8038C53,M8038C54,M8038C55,M8038C56,M8038C57,M8038C58,M8038C59,M8038C60,M8038C61,M8038C62,M8038C63,M8038C64,M8038C65,M8038C66
2022-03-18,2871.0,60.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3600.0,,,,,,,,,
2022-03-19,87607.0,4.0,0.2777777777777778,3727.0,261.0,101476822.0,25378.0,6012853.0,22496.0,171233.0,218992.0,126344.0,218993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37369120.0,89856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645098760.0,71368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352317.0,3243645.0,0.0,,1.0,257.0,0.0,127.0,271.0,,,,,,,,,
2022-03-19,2885.0,16.0,1.1111111111111112,8639.0,902.0,238725127.0,86158.0,30624063.0,75640.0,326432.0,883838.0,579642.0,883834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176440.0,16550.0,219808032.0,506163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5556232.0,1198.0,1360504960.0,132057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2992256.0,5874702.0,0.0,,59.0,927.0,0.0,243.5,1011.0,,,,,,,,,
2022-03-17,2868.0,6.0,0.4166666666666667,13516.0,300.0,59722311.0,198447.0,6443815.0,263387.0,228952.0,299991.0,198159.0,299995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3936.0,12.0,38865632.0,131470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343073328.0,55982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933687.0,1778842.0,0.0,,1.0,305.0,0.0,136.0,352.0,,,,,,,,,
2022-03-17,2888.0,7.0,0.4861111111111111,6605.0,360.0,48039083.0,94519.0,4488692.0,100030.0,158830.0,359996.0,48850.0,359991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78488.0,180.0,19201560.0,22736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,8.0,60687936.0,11764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284792.0,623008.0,0.0,,1.0,393.0,0.0,107.0,413.0,,,,,,,,,
2022-03-17,2874.0,6.0,0.4166666666666667,1677.0,348.0,3645954.0,19403.0,781072.0,31462.0,7574.0,299993.0,15119.0,299997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,1.0,4958464.0,12022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2841240.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77732.0,60461.0,0.0,,0.0,346.0,0.0,105.0,352.0,,,,,,,,,
2022-03-11,2884.0,13.0,0.9027777777777778,167891.0,831.0,1160133633.0,731790.0,351834701.0,1069749.0,34020738.0,830967.0,19538790.0,830965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217648.0,128147.0,2239139136.0,14346484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838816.0,16567.0,7161432408.0,22746871.0,0.0,0.0,1648.0,10.0,0.0,0.0,0.0,22571515.0,32802507.0,0.0,,949.0,831.0,0.0,2351.0,831.0,,,,,,,,,
2022-03-15,2883.0,2.0,0.1388888888888889,1130.0,119.0,55160591.0,14193.0,1504531.0,11591.0,84574.0,102903.0,119166.0,102897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9834440.0,85556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296308384.0,13361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363359.0,852188.0,0.0,,0.0,116.0,0.0,151.0,129.0,,,,,,,,,
2022-03-19,87613.0,4.0,0.2777777777777778,133.0,262.0,16581.0,2936.0,97369.0,1714.0,2344.0,218990.0,3154.0,218998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750960.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31456.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15204.0,1062573.0,0.0,,0.0,259.0,0.0,100.0,271.0,,,,,,,,,
2022-03-19,87604.0,4.0,0.2777777777777778,372.0,259.0,8939640.0,3626.0,540462.0,4177.0,17244.0,218992.0,27007.0,218993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2830536.0,12478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46328744.0,3819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61559.0,434002.0,0.0,,0.0,257.0,0.0,103.0,271.0,,,,,,,,,
