begintime,sk_object,duration,integrity,M51321C0,M51321C1,M51321C2,M51321C3,M51321C4,M51321C5,M51321C6,M51321C7,M51321C8,M51321C9,M51321C10,M51321C11,M51321C12,M51321C13,M51321C14
2022-03-18 18:00:00,15505.0,60.0,100.0,20045338561.0,18251036.0,2982831308.0,13457989.0,0.0,0.0,0.0,2780.0,216282.0,0.0,0.0,2780.0,216282.0,0.0,0.0
2022-03-12 04:00:00,15486.0,60.0,100.0,1071276342.0,1017902.0,116555056.0,821657.0,0.0,0.0,0.0,2782.0,216396.0,0.0,0.0,2782.0,216396.0,0.0,0.0
2022-03-14 18:00:00,15489.0,60.0,100.0,8328331263.0,7211178.0,1121626748.0,4520902.0,0.0,0.0,0.0,3015.0,234622.0,0.0,0.0,3015.0,234622.0,0.0,0.0
2022-03-18 12:00:00,15506.0,60.0,100.0,5917361866.0,4951344.0,994789319.0,3734738.0,0.0,0.0,0.0,2753.0,214168.0,0.0,0.0,2753.0,214168.0,0.0,0.0
2022-03-16 10:00:00,15503.0,60.0,100.0,3790728.0,52052.0,517306.0,450.0,0.0,0.0,0.0,2549.0,198308.0,0.0,0.0,2549.0,198308.0,0.0,0.0
2022-03-12 11:00:00,15457.0,60.0,100.0,14700739557.0,12897042.0,2645194759.0,9358907.0,0.0,0.0,0.0,2778.0,216122.0,0.0,0.0,2778.0,216122.0,0.0,0.0
2022-03-15 08:00:00,15469.0,60.0,100.0,4540554.0,62299.0,288617.0,309.0,0.0,0.0,0.0,2777.0,215996.0,0.0,0.0,2777.0,215996.0,0.0,0.0
2022-03-14 01:00:00,15465.0,60.0,100.0,24815992.0,282652.0,15793316.0,175937.0,0.0,0.0,0.0,2782.0,216488.0,0.0,0.0,2782.0,216488.0,0.0,0.0
2022-03-18 16:00:00,15458.0,60.0,100.0,4545162.0,62415.0,544452.0,451.0,0.0,0.0,0.0,2778.0,216168.0,0.0,0.0,2778.0,216168.0,0.0,0.0
2022-03-17 08:00:00,15497.0,60.0,100.0,4549310.0,62427.0,277304.0,379.0,0.0,0.0,0.0,2777.0,216042.0,0.0,0.0,2777.0,216042.0,0.0,0.0
