begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_BLACKHALLROAD-63,0.064689319,0.836550579
2022-02-02 01:00:00,3G_BLACKHALLROAD-64,0.075832982,0.662101516
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-11,0.061047418,0.474910261
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-12,0.022682381,0.162060182
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-13,0.022670408,0.326264356
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-14,0.063690372,0.483444727
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-21,0.054764708,0.425502556
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-22,0.032647836,0.349100127
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-23,0.011796863,0.053497682
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-24,0.007093266,0.0
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-31,0.156968357,1.573275927
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-32,0.185476467,1.968554601
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-33,0.093453728,0.9326207
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-34,0.160093985,1.237161479
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-41,0.068573557,0.909875815
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-42,0.164565564,0.881962674
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-43,0.085992949,0.788027039
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-44,0.116059796,1.010278883
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-51,0.043113878,0.6369744
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-52,0.014552589,0.310168651
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-53,0.018478804,0.234256204
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-54,0.015314898,0.12110576
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-61,0.061910707,0.647026112
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-62,0.052394754,0.644817755
2022-02-02 01:00:00,3G_BLACKHALLROAD_II-63,0.061214819,0.716772205
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-11,0.135901983,1.438690328
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-12,0.22079665,1.584579701
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-13,0.0941443,0.95335441
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-14,0.024091211,0.24282344
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-21,0.068010374,1.047102771
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-22,0.077928646,0.99878243
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-23,0.153120122,1.108618109
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-24,0.039311962,0.308222894
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-31,0.091171286,0.789923232
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-32,0.042989089,0.664319737
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-33,0.036268212,0.382164978
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-34,0.056626724,0.389563042
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-41,0.183497765,0.971647743
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-42,0.078134979,0.51134328
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-43,0.046585586,0.561853951
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-44,0.037933259,0.167213521
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-51,0.025760811,0.03010205
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-52,0.007899387,0.023883679
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-53,0.008052382,0.076468654
2022-02-02 01:00:00,3G_BLACKHALLROAD_III-54,0.008039546,0.065632423
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-11,0.108391254,1.202389131
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-12,0.085824852,1.029743237
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-13,0.075629448,0.726916949
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-14,0.057958099,0.706291745
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-21,0.106791453,0.939363184
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-22,0.097112008,0.808185944
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-23,0.037345332,0.303219152
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-24,0.038349275,0.202214222
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-31,0.154017508,0.425981795
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-32,0.144764555,0.767902418
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-33,0.070923844,0.482380084
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-34,0.03765539,0.371860307
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-41,0.181587725,0.88530973
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-42,0.108887249,1.005553731
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-43,0.109942525,1.133949681
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-44,0.039301478,0.409262707
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-51,0.083917089,0.989602449
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-52,0.075350296,0.936929287
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-53,0.067928832,0.497170621
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-54,0.079744518,0.972299062
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-61,0.133642258,2.012131472
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-62,0.154142135,1.986476587
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-63,0.134287593,1.23322519
2022-02-02 01:00:00,3G_BYRNELANECOLLIGATE-64,0.13777755,1.861442301
2022-02-02 01:00:00,3G_CLINETOWN-11,0.057144592,0.843625752
2022-02-02 01:00:00,3G_CLINETOWN-12,0.052327211,0.442943622
2022-02-02 01:00:00,3G_CLINETOWN-13,0.03718075,0.343336369
2022-02-02 01:00:00,3G_CLINETOWN-14,0.046965525,0.380356713
2022-02-02 01:00:00,3G_CLINETOWN-21,0.099397152,0.973009785
2022-02-02 01:00:00,3G_CLINETOWN-22,0.128219474,0.872203491
2022-02-02 01:00:00,3G_CLINETOWN-23,0.085600719,0.753184516
2022-02-02 01:00:00,3G_CLINETOWN-24,0.069010293,0.422317232
2022-02-02 01:00:00,3G_CLINETOWN-31,0.014819616,0.151249673
2022-02-02 01:00:00,3G_CLINETOWN-32,0.014755737,0.196157277
2022-02-02 01:00:00,3G_CLINETOWN-33,0.025306924,0.329379071
2022-02-02 01:00:00,3G_CLINETOWN-34,0.006664759,0.016571996
2022-02-02 01:00:00,3G_CLINETOWN-41,0.085990775,0.440561974
2022-02-02 01:00:00,3G_CLINETOWN-42,0.120729407,0.603290725
2022-02-02 01:00:00,3G_CLINETOWN-43,0.025116203,0.18258387
2022-02-02 01:00:00,3G_CLINETOWN-44,0.033008743,0.310379047
2022-02-02 01:00:00,3G_CLINETOWN-51,0.07496455,0.40548741
2022-02-02 01:00:00,3G_CLINETOWN-52,0.076125481,0.562054055
2022-02-02 01:00:00,3G_CLINETOWN-53,0.066553845,0.836584071
2022-02-02 01:00:00,3G_CLINETOWN-54,0.039391676,0.466523356
2022-02-02 01:00:00,3G_CLINETOWN-61,0.008804001,0.011091535
2022-02-02 01:00:00,3G_CLINETOWN-62,0.002736318,0.006400835
2022-02-02 01:00:00,3G_CLINETOWN-63,0.008882627,0.030184094
2022-02-02 01:00:00,3G_CLINETOWN-64,0.012711065,0.151466169
2022-02-02 01:00:00,3G_COLEFARM_II-11,0.108807164,0.505915634
2022-02-02 01:00:00,3G_COLEFARM_II-12,0.048530039,0.503917672
2022-02-02 01:00:00,3G_COLEFARM_II-13,0.047037507,0.506501098
2022-02-02 01:00:00,3G_COLEFARM_II-14,0.025357005,0.234540101
2022-02-02 01:00:00,3G_COLEFARM_II-21,0.234216411,0.601877873
2022-02-02 01:00:00,3G_COLEFARM_II-22,0.114873049,0.679177926
2022-02-02 01:00:00,3G_COLEFARM_II-23,0.088987859,0.796467369
2022-02-02 01:00:00,3G_COLEFARM_II-24,0.048353014,0.588293236
2022-02-02 01:00:00,3G_COLEFARM_II-31,0.006593559,0.038597989
2022-02-02 01:00:00,3G_COLEFARM_II-32,0.014953131,0.09546096
2022-02-02 01:00:00,3G_COLEFARM_II-33,0.001802702,0.01647001
2022-02-02 01:00:00,3G_COLEFARM_II-34,0.01603805,0.115641591
