begintime,sk_object,duration,M8073C0
2022-03-13 15:30:00,22616.0,15,0.0
2022-03-12 00:00:00,22662.0,15,0.0
2022-03-12 19:30:00,22661.0,15,0.0
2022-03-11 19:45:00,22623.0,15,0.0
2022-03-11 00:30:00,22627.0,15,0.0
2022-03-12 02:00:00,22693.0,15,0.0
2022-03-13 16:30:00,22634.0,15,0.0
2022-03-11 19:15:00,22650.0,15,2.0
2022-03-14 03:30:00,22634.0,15,0.0
2022-03-11 11:00:00,22655.0,15,0.0
2022-03-13 17:30:00,22649.0,15,5.0
2022-03-13 14:45:00,22649.0,15,3.0
2022-03-12 14:15:00,22656.0,15,0.0
2022-03-12 22:45:00,22682.0,15,0.0
2022-03-11 10:30:00,22605.0,15,0.0
2022-03-11 00:15:00,22629.0,15,0.0
2022-03-13 23:45:00,22692.0,15,0.0
2022-03-12 21:45:00,22657.0,15,3.0
2022-03-11 13:45:00,22610.0,15,0.0
2022-03-11 05:00:00,22676.0,15,0.0
2022-03-12 21:15:00,22661.0,15,0.0
2022-03-12 19:00:00,22633.0,15,0.0
2022-03-11 23:15:00,22635.0,15,0.0
2022-03-11 08:15:00,22658.0,15,0.0
2022-03-13 23:15:00,22663.0,15,0.0
2022-03-13 01:00:00,22603.0,15,0.0
2022-03-13 01:00:00,22641.0,15,0.0
2022-03-14 09:15:00,22669.0,15,0.0
2022-03-12 17:15:00,22671.0,15,0.0
2022-03-13 18:30:00,22619.0,15,0.0
2022-03-11 01:00:00,22638.0,15,0.0
2022-03-12 23:00:00,22627.0,15,0.0
2022-03-13 15:15:00,22678.0,15,0.0
2022-03-14 23:15:00,22622.0,15,0.0
2022-03-11 22:45:00,22635.0,15,0.0
2022-03-14 18:45:00,22653.0,15,0.0
2022-03-12 11:45:00,22691.0,15,0.0
2022-03-14 16:00:00,22694.0,15,0.0
2022-03-13 09:15:00,22676.0,15,0.0
2022-03-13 20:00:00,22624.0,15,0.0
2022-03-13 13:00:00,22671.0,15,0.0
2022-03-11 16:45:00,22645.0,15,0.0
2022-03-13 20:30:00,22656.0,15,0.0
