nodename,peernodename,mapping_name
G09_Jalambang_1,G_Jalambang@Jalambang,cell_site
G09_Jalambang_2,G_Jalambang@Jalambang,cell_site
G09_Jalambang_3,G_Jalambang@Jalambang,cell_site
G09_Jabang_1,G_Jabang@Jabang,cell_site
G09_Jabang_2,G_Jabang@Jabang,cell_site
G09_Jabang_3,G_Jabang@Jabang,cell_site
G09_Kanifing Estate_1,G_Kanifing Estate@Kanifing Estate,cell_site
G09_Kanifing Estate_2,G_Kanifing Estate@Kanifing Estate,cell_site
G09_Kanifing Estate_3,G_Kanifing Estate@Kanifing Estate,cell_site
G09_Kerr Seringe_1,G_Kerr Seringe@Kerr Seringe,cell_site
G09_Kerr Seringe_2,G_Kerr Seringe@Kerr Seringe,cell_site
G09_Kerr Seringe_3,G_Kerr Seringe@Kerr Seringe,cell_site
G09_LK School_1,G_LK School@LK School,cell_site
G09_LK School_2,G_LK School@LK School,cell_site
G09_LK School_3,G_LK School@LK School,cell_site
G09_Califonia_1,G_Califonia@Califonia,cell_site
G09_Califonia_2,G_Califonia@Califonia,cell_site
G09_Califonia_3,G_Califonia@Califonia,cell_site
G09_Mamuda_1,G_Mamuda@Mamuda,cell_site
G09_Mamuda_2,G_Mamuda@Mamuda,cell_site
G09_Mamuda_3,G_Mamuda@Mamuda,cell_site
G09_Tujereng Estate_1,G_Tujereng Estate@Tujereng Estate,cell_site
G09_Tujereng Estate_2,G_Tujereng Estate@Tujereng Estate,cell_site
G09_Tujereng Estate_3,G_Tujereng Estate@Tujereng Estate,cell_site
G09_Brufut_Nema_1,G_Brufut_Nema@Brufut_Nema,cell_site
G09_Brufut_Nema_2,G_Brufut_Nema@Brufut_Nema,cell_site
G09_Brufut_Nema_3,G_Brufut_Nema@Brufut_Nema,cell_site
G09_Latriya_1,G_Latriya@Latriya,cell_site
G09_Latriya_2,G_Latriya@Latriya,cell_site
G09_Latriya_3,G_Latriya@Latriya,cell_site
G09_Old Yundum 3_1,G_Old Yundum 3@Old Yundum 3,cell_site
G09_Old Yundum 3_2,G_Old Yundum 3@Old Yundum 3,cell_site
G09_Old Yundum 3_3,G_Old Yundum 3@Old Yundum 3,cell_site
G09_Sanchaba Touba_1,G_Sanchaba Touba@Sanchaba Touba,cell_site
G09_Sanchaba Touba_2,G_Sanchaba Touba@Sanchaba Touba,cell_site
G09_Sanchaba Touba_3,G_Sanchaba Touba@Sanchaba Touba,cell_site
