sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
1348,"MRBTS-5084/LNBTS-5084/LNCEL-31,MCC-619/MNC-05,ECI-1303042,MCC-619/MNC-05",nokia_common_8015,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
23,MRBTS-5084/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5084,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
87218,"MRBTS-5079/LNBTS-5079/LNCEL-11,MCC-619/MNC-05,ECI-1300482,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
171,MRBTS-5050/EQM-1/APEQM-1/RMOD-1/ANTL-4,nokia_common_40001,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
119,MRBTS-5050/EQM-1/APEQM-1/RMOD-2/ANTL-5,nokia_common_40001,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
125,MRBTS-5084/EQM-1/APEQM-1/RMOD-2/ANTL-5,nokia_common_40001,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
159,MRBTS-5090/EQM-1/APEQM-1/RMOD-1/ANTL-5,nokia_common_40001,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
183,MRBTS-5200/EQM-1/APEQM-1/RMOD-1/ANTL-3,nokia_common_40001,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
299,MRBTS-5084/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
304,MRBTS-5200/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
446,MRBTS-5044/TNLSVC-1/TNL-1/IPNO-1/IPIF-1,nokia_common_51375,11,MRBTS-5044,1.0,1.0,2022-03-24 02:33:32.814566,2022-04-01 09:11:35.400984
590,"MRBTS-5084/LNBTS-5084/LNCEL-1,MCC-619/MNC-05",nokia_common_8006,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
597,"MRBTS-5200/LNBTS-5200/LNCEL-1,MCC-619/MNC-05",nokia_common_8006,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
785,"MRBTS-5084/LNBTS-5084/LNCEL-31,MCC-619/MNC-05",nokia_common_8011,12,MRBTS-5084,1.0,1.0,2022-03-24 02:33:43.317661,2022-03-24 02:33:43.317661
784,"MRBTS-5090/LNBTS-5090/LNCEL-3,MCC-619/MNC-05",nokia_common_8011,8,MRBTS-5090,1.0,1.0,2022-03-24 02:33:43.317661,2022-03-24 02:33:43.317661
1046,"MRBTS-5200/LNBTS-5200/LNCEL-31,MCC-619/MNC-05,ECI-1288706,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1587,"MRBTS-5200/LNBTS-5200/LNCEL-1,MCC-619/MNC-05,ECI-1304583,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1648,"MRBTS-5200/LNBTS-5200/LNCEL-21,MCC-619/MNC-05,ECI-1287938,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1349,"MRBTS-5050/LNBTS-5050/LNCEL-3,MCC-619/MNC-05,ECI-1292821,MCC-619/MNC-05",nokia_common_8015,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
16,MRBTS-5200/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5200,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
27,MRBTS-5089/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5089,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
18,MRBTS-5082/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51328,15,MRBTS-5082,1.0,1.0,2022-03-12 09:43:37.689153,2022-04-09 17:55:20.097369
16220,"MRBTS-5084/LNBTS-5084/LNCEL-21,MCC-619/MNC-05",nokia_macro_8005,15,MRBTS-5084,1.0,1.0,2022-03-24 03:13:52.139375,2022-03-24 03:13:52.139375
16465,"MRBTS-5200/LNBTS-5200/LNCEL-1,MCC-619/MNC-05",nokia_macro_8008,15,MRBTS-5200,1.0,1.0,2022-03-24 03:13:56.689908,2022-03-24 03:13:56.689908
16558,"MRBTS-5045/LNBTS-5045/LNCEL-21,MCC-619/MNC-05",nokia_macro_8009,15,MRBTS-5045,1.0,1.0,2022-03-24 03:13:57.007183,2022-03-24 03:13:57.007183
