begintime,sk_object,duration,M8027C0,M8027C1,M8027C2,M8027C3,M8027C4,M8027C5
2022-03-11 15:15:00,20806.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-12 01:00:00,20761.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 20:30:00,20768.0,15,3.0,2.0,2.0,13.0,10.0,3.0
2022-03-13 09:00:00,20787.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:00:00,20783.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 23:30:00,20810.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-14 16:15:00,20812.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:15:00,20769.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 08:15:00,20779.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 09:30:00,20819.0,15,3.0,3.0,3.0,11.0,6.0,5.0
2022-03-14 18:30:00,20816.0,15,1.0,1.0,1.0,10.0,0.0,10.0
2022-03-13 02:00:00,20822.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-11 01:30:00,20838.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 08:30:00,20785.0,15,0.0,0.0,0.0,12.0,2.0,10.0
2022-03-12 02:30:00,20781.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 15:45:00,20763.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:30:00,20829.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 15:30:00,20761.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:45:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 19:15:00,20775.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:15:00,20790.0,15,0.0,0.0,0.0,5.0,0.0,5.0
2022-03-11 18:30:00,20771.0,15,1.0,1.0,0.0,5.0,1.0,4.0
2022-03-11 08:15:00,20838.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-11 06:30:00,20780.0,15,0.0,0.0,0.0,3.0,0.0,3.0
2022-03-13 11:30:00,20787.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 10:30:00,20782.0,15,0.0,0.0,0.0,19.0,1.0,18.0
2022-03-12 08:45:00,20791.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 15:30:00,20765.0,15,1.0,1.0,1.0,4.0,0.0,4.0
2022-03-11 05:30:00,20838.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 01:00:00,20751.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 04:30:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,20755.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:00:00,20816.0,15,0.0,0.0,0.0,13.0,0.0,13.0
2022-03-11 09:30:00,20784.0,15,2.0,2.0,2.0,0.0,0.0,0.0
2022-03-13 21:45:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:45:00,20803.0,15,0.0,0.0,0.0,22.0,3.0,19.0
2022-03-13 07:00:00,20788.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 06:15:00,20807.0,15,1.0,1.0,1.0,5.0,0.0,5.0
2022-03-13 00:30:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:45:00,20750.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 05:15:00,20774.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 03:00:00,20803.0,15,0.0,0.0,0.0,12.0,0.0,12.0
2022-03-11 15:45:00,20779.0,15,0.0,0.0,0.0,9.0,1.0,8.0
2022-03-11 03:15:00,20810.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,20755.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:15:00,20769.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 15:30:00,20775.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 01:45:00,20757.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:00:00,20826.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-11 11:00:00,20762.0,15,6.0,6.0,5.0,15.0,8.0,7.0
2022-03-12 15:00:00,20805.0,15,1.0,1.0,1.0,10.0,4.0,6.0
2022-03-13 02:15:00,20825.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-12 01:30:00,20792.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-13 09:30:00,20829.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:45:00,20830.0,15,0.0,0.0,0.0,20.0,5.0,15.0
2022-03-12 18:00:00,20785.0,15,1.0,1.0,1.0,4.0,0.0,3.0
2022-03-14 17:00:00,20833.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-15 00:00:00,20750.0,15,0.0,0.0,0.0,3.0,1.0,2.0
2022-03-14 00:15:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 01:45:00,20748.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 06:00:00,20774.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-12 19:30:00,20794.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 14:30:00,20799.0,15,3.0,3.0,3.0,1.0,1.0,0.0
2022-03-14 19:15:00,20795.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 16:45:00,20774.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-14 10:45:00,20825.0,15,0.0,0.0,0.0,10.0,1.0,9.0
2022-03-12 16:15:00,20837.0,15,0.0,0.0,0.0,1.0,1.0,0.0
2022-03-13 07:15:00,20768.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-12 22:15:00,20758.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-12 16:45:00,20794.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 05:45:00,20834.0,15,0.0,0.0,0.0,10.0,0.0,10.0
2022-03-12 14:30:00,20756.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:45:00,20839.0,15,9.0,9.0,9.0,17.0,2.0,15.0
2022-03-12 11:00:00,20763.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-12 17:15:00,20747.0,15,0.0,0.0,0.0,3.0,2.0,1.0
2022-03-11 18:00:00,20788.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:30:00,20778.0,15,3.0,3.0,3.0,3.0,3.0,0.0
2022-03-12 21:00:00,20814.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 08:45:00,20775.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 10:00:00,20765.0,15,0.0,0.0,0.0,11.0,1.0,11.0
2022-03-12 22:00:00,20759.0,15,1.0,1.0,1.0,14.0,4.0,10.0
2022-03-12 01:15:00,20821.0,15,1.0,1.0,0.0,5.0,1.0,4.0
2022-03-13 21:45:00,20833.0,15,0.0,0.0,0.0,3.0,1.0,2.0
2022-03-13 10:45:00,20805.0,15,1.0,1.0,1.0,12.0,2.0,10.0
2022-03-14 17:15:00,20817.0,15,4.0,4.0,1.0,6.0,0.0,5.0
2022-03-15 01:00:00,20781.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 14:43:00,20757.0,2,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:45:00,20780.0,15,2.0,2.0,2.0,7.0,1.0,6.0
2022-03-14 07:45:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 18:45:00,20755.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:30:00,20830.0,15,0.0,0.0,0.0,16.0,0.0,16.0
2022-03-13 00:00:00,20837.0,15,1.0,1.0,1.0,2.0,1.0,1.0
2022-03-13 19:15:00,20791.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 10:15:00,20766.0,15,0.0,0.0,0.0,4.0,0.0,4.0
2022-03-11 01:30:00,20803.0,15,0.0,0.0,0.0,5.0,0.0,5.0
2022-03-12 03:30:00,20803.0,15,0.0,0.0,0.0,7.0,0.0,7.0
2022-03-14 06:45:00,20804.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 23:30:00,20778.0,15,0.0,0.0,0.0,4.0,4.0,0.0
2022-03-11 00:30:00,20828.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 08:00:00,20799.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-11 21:00:00,20784.0,15,3.0,3.0,3.0,6.0,2.0,4.0
2022-03-12 02:00:00,20782.0,15,0.0,0.0,0.0,9.0,0.0,9.0
2022-03-13 10:30:00,20787.0,15,0.0,0.0,0.0,0.0,0.0,0.0
