begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.UE.UL.RmvSmallPkt.PL0,L.Thrp.Time.UE.UL.RmvSmallPkt.PL1,L.Thrp.Time.UE.UL.RmvSmallPkt.PL2,L.Thrp.Time.UE.UL.RmvSmallPkt.PL3
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=6,Cell Name=4G_CONGOTOWN-6,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808766.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,318991891832.0,76938.0,116727.0,140887.0,251218.0
2022-02-02,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II,Local Cell ID=6,Cell Name=4G_SPURROAD_II-6,eNodeB ID=5001,Cell FDD TDD indication=CELL_FDD",808767.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,138491351504.0,19574.0,24824.0,40437.0,76359.0
2022-02-02,"4G_HILLCUTROAD_II/Cell:eNodeB Function Name=4G_HILLCUTROAD_II,Local Cell ID=3,Cell Name=4G_HILLCUTROAD_II-3,eNodeB ID=5113,Cell FDD TDD indication=CELL_FDD",808768.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,724627416768.0,198860.0,629021.0,1290007.0,1197434.0
2022-02-02,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=8,Cell Name=4G_COLEFARM_II-8,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808769.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,668626051688.0,206774.0,625140.0,1025092.0,1117081.0
2022-02-02,"4G_BONTHE/Cell:eNodeB Function Name=4G_BONTHE,Local Cell ID=2,Cell Name=4G_BONTHE-2,eNodeB ID=5128,Cell FDD TDD indication=CELL_FDD",808770.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,14326461280.0,180.0,666.0,4000.0,6941.0
2022-02-02,"4G_PENDUMA_DOVEFACTORY/Cell:eNodeB Function Name=4G_PENDUMA_DOVEFACTORY,Local Cell ID=3,Cell Name=4G_PENDUMA_DOVEFACTORY-3,eNodeB ID=5114,Cell FDD TDD indication=CELL_FDD",808822.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,4160114264.0,17.0,64.0,44.0,24.0
2022-02-02,"4G_LUNSAR_II/Cell:eNodeB Function Name=4G_LUNSAR_II,Local Cell ID=3,Cell Name=4G_LUNSAR_II-3,eNodeB ID=5047,Cell FDD TDD indication=CELL_FDD",808771.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,442057586664.0,60707.0,86374.0,96364.0,129192.0
2022-02-02,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH,Local Cell ID=2,Cell Name=4G_GODERICH-2,eNodeB ID=5016,Cell FDD TDD indication=CELL_FDD",808772.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,106607607008.0,53799.0,52955.0,51697.0,98830.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=8,Cell Name=4G_ADONKIA-8,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808773.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,468484857640.0,22524.0,35870.0,161231.0,454466.0
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=8,Cell Name=4G_CONGOTOWN-8,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808774.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,667082582008.0,83897.0,212042.0,355363.0,878586.0
2022-02-02,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II,Local Cell ID=3,Cell Name=4G_OAU_II-3,eNodeB ID=5013,Cell FDD TDD indication=CELL_FDD",808789.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,131044599080.0,96454.0,61033.0,31890.0,34993.0
2022-02-02,"4G_PALMRESORT/Cell:eNodeB Function Name=4G_PALMRESORT,Local Cell ID=3,Cell Name=4G_PALMRESORT-3,eNodeB ID=5025,Cell FDD TDD indication=CELL_FDD",808792.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,288689060008.0,258149.0,389899.0,201130.0,387556.0
2022-02-02,"4G_ECOWASST/Cell:eNodeB Function Name=4G_ECOWASST,Local Cell ID=7,Cell Name=4G_ECOWASST-7,eNodeB ID=5063,Cell FDD TDD indication=CELL_FDD",808793.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,294527446704.0,92341.0,144968.0,175710.0,180018.0
