begintime,sk_object,duration,integrity,1282449671,1282449672,1282449673,1282449674
2022-03-03,629758.0,86400.0,100.0,206.706731375,568.5692,488.47937583333334,1069.5987
2022-02-08,629794.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-10,630275.0,79200.0,91.66666666666667,167.90727177272728,453.44533,384.8081890909091,937.582
2022-02-18,629829.0,86400.0,100.0,111.55140958333334,349.94827,293.1183204166667,797.11093
2022-03-11,630042.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-07,629789.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-02-08,629665.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-19,630362.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-18,630138.0,86400.0,100.0,915.3609616666666,1677.0364,1769.2180216666666,3049.5113
2022-03-06,629969.0,79200.0,91.66666666666667,328.71743586363635,725.51933,711.3065322727273,1292.5707
2022-03-12,629663.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0
2022-03-14,629952.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-17,630376.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-11,629912.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-03,629785.0,86400.0,100.0,539.21898525,1217.7637,1353.6366154166667,2459.8349
2022-02-13,629816.0,86400.0,100.0,1082.1839841666667,2031.0419,2193.1313775,3871.4468
2022-02-06,630337.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-15,629888.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-02-08,630343.0,86400.0,100.0,2097.0863779166666,3838.1099,3652.1157708333335,5497.2479
2022-02-13,629796.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-13,630397.0,86400.0,100.0,1104.0377383333334,2082.8045,2234.7368541666665,3959.2669
2022-02-04,630372.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-15,629735.0,82800.0,95.83333333333333,107.32644293913043,356.5124,296.48898495652173,703.73973
2022-02-08,629913.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-20,630134.0,86400.0,100.0,175.548989625,466.79307,410.0297879166667,839.7636
2022-02-04,629750.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-04,629822.0,86400.0,100.0,1383.1525525,2422.184,2788.2723666666666,4679.6908
2022-02-18,629909.0,86400.0,100.0,1366.9370925,2116.6779,2408.241829166667,3491.4283
2022-02-17,502166.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-05,629892.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-10,630330.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
