NE Name,fdn,BTSID,BTSNAME,ISSUPERBTS,MOIndex,className,name,neID
FTBSC02,"NE=280,BTSOTHPARA=173",173,NJALABOCAMPUS_II,NO,26_173,BSC6900GSMBTSOTHPARA,BTS Index=173,26
FTBSC02,"NE=280,BTSOTHPARA=175",175,RESERVATION_II,NO,26_175,BSC6900GSMBTSOTHPARA,BTS Index=175,26
FTBSC02,"NE=280,BTSOTHPARA=177",177,SHELLMINGO_II,NO,26_177,BSC6900GSMBTSOTHPARA,BTS Index=177,26
FTBSC02,"NE=280,BTSOTHPARA=206",206,BINKOLO,NO,26_206,BSC6900GSMBTSOTHPARA,BTS Index=206,26
FTBSC02,"NE=280,BTSOTHPARA=153",153,MANO,NO,26_153,BSC6900GSMBTSOTHPARA,BTS Index=153,26
FTBSC02,"NE=280,BTSOTHPARA=154",154,MILE91,NO,26_154,BSC6900GSMBTSOTHPARA,BTS Index=154,26
FTBSC02,"NE=280,BTSOTHPARA=155",155,SIEROMCO(REP8)_II,NO,26_155,BSC6900GSMBTSOTHPARA,BTS Index=155,26
FTBSC02,"NE=280,BTSOTHPARA=157",157,MOYAMBAJUNCTION_II,NO,26_157,BSC6900GSMBTSOTHPARA,BTS Index=157,26
FTBSC02,"NE=280,BTSOTHPARA=172",172,NJALA_II,NO,26_172,BSC6900GSMBTSOTHPARA,BTS Index=172,26
FTBSC02,"NE=280,BTSOTHPARA=181",181,MATTRU,NO,26_181,BSC6900GSMBTSOTHPARA,BTS Index=181,26
FTBSC02,"NE=280,BTSOTHPARA=274",274,KAMASIKI,NO,26_274,BSC6900GSMBTSOTHPARA,BTS Index=274,26
FTBSC02,"NE=280,BTSOTHPARA=276",276,MASUMBIRI,NO,26_276,BSC6900GSMBTSOTHPARA,BTS Index=276,26
FTBSC02,"NE=280,BTSOTHPARA=49",49,ABERDEEN,NO,26_49,BSC6900GSMBTSOTHPARA,BTS Index=49,26
FTBSC02,"NE=280,BTSOTHPARA=75",75,MUCTARUDRIVE_II,NO,26_75,BSC6900GSMBTSOTHPARA,BTS Index=75,26
FTBSC02,"NE=280,BTSOTHPARA=77",77,SPURROAD_II,NO,26_77,BSC6900GSMBTSOTHPARA,BTS Index=77,26
FTBSC02,"NE=280,BTSOTHPARA=135",135,WOAMA,NO,26_135,BSC6900GSMBTSOTHPARA,BTS Index=135,26
FTBSC02,"NE=280,BTSOTHPARA=150",150,KENEMATOWN,NO,26_150,BSC6900GSMBTSOTHPARA,BTS Index=150,26
FTBSC02,"NE=280,BTSOTHPARA=165",165,TIAMA_II,NO,26_165,BSC6900GSMBTSOTHPARA,BTS Index=165,26
FTBSC02,"NE=280,BTSOTHPARA=193",193,OCTEA,NO,26_193,BSC6900GSMBTSOTHPARA,BTS Index=193,26
FTBSC02,"NE=280,BTSOTHPARA=231",231,SUMBUYA,NO,26_231,BSC6900GSMBTSOTHPARA,BTS Index=231,26
FTBSC02,"NE=280,BTSOTHPARA=254",254,GORAHUN,NO,26_254,BSC6900GSMBTSOTHPARA,BTS Index=254,26
FTBSC02,"NE=280,BTSOTHPARA=252",252,YOMADU,NO,26_252,BSC6900GSMBTSOTHPARA,BTS Index=252,26
FTBSC02,"NE=280,BTSOTHPARA=114",114,MASINGBI_II,NO,26_114,BSC6900GSMBTSOTHPARA,BTS Index=114,26
FTBSC02,"NE=280,BTSOTHPARA=178",178,DAMAROAD,NO,26_178,BSC6900GSMBTSOTHPARA,BTS Index=178,26
FTBSC02,"NE=280,BTSOTHPARA=179",179,BOEXTENSION2,NO,26_179,BSC6900GSMBTSOTHPARA,BTS Index=179,26
FTBSC02,"NE=280,BTSOTHPARA=216",216,SEMBEHUN,NO,26_216,BSC6900GSMBTSOTHPARA,BTS Index=216,26
FTBSC02,"NE=280,BTSOTHPARA=288",288,ALKALIA,NO,26_288,BSC6900GSMBTSOTHPARA,BTS Index=288,26
FTBSC02,"NE=280,BTSOTHPARA=302",302,AFCOM,,26_302,BSC6900GSMBTSOTHPARA,BTS Index=302,26
FTBSC02,"NE=280,BTSOTHPARA=303",303,MAMBO,,26_303,BSC6900GSMBTSOTHPARA,BTS Index=303,26
FTBSC02,"NE=280,BTSOTHPARA=40",40,KHORTRIGHT_II,NO,26_40,BSC6900GSMBTSOTHPARA,BTS Index=40,26
FTBSC02,"NE=280,BTSOTHPARA=280",280,FALABA,NO,26_280,BSC6900GSMBTSOTHPARA,BTS Index=280,26
FTBSC02,"NE=280,BTSOTHPARA=282",282,TORKPOITOWN,NO,26_282,BSC6900GSMBTSOTHPARA,BTS Index=282,26
FTBSC02,"NE=280,BTSOTHPARA=0",0,MAPAKI,,26_0,BSC6900GSMBTSOTHPARA,BTS Index=0,26
FTBSC02,"NE=280,BTSOTHPARA=281",281,CKC_BO,NO,26_281,BSC6900GSMBTSOTHPARA,BTS Index=281,26
FTBSC02,"NE=280,BTSOTHPARA=600",600,TEST-BSC02,NO,26_600,BSC6900GSMBTSOTHPARA,BTS Index=600,26
FTBSC02,"NE=280,BTSOTHPARA=304",304,MASADU,,26_304,BSC6900GSMBTSOTHPARA,BTS Index=304,26
FTBSC02,"NE=280,BTSOTHPARA=279",279,GBINDI,NO,26_279,BSC6900GSMBTSOTHPARA,BTS Index=279,26
FTBSC02,"NE=280,BTSOTHPARA=294",294,MEAMINING,NO,26_294,BSC6900GSMBTSOTHPARA,BTS Index=294,26
FTBSC02,"NE=280,BTSOTHPARA=301",301,SINKUNIA,NO,26_301,BSC6900GSMBTSOTHPARA,BTS Index=301,26
FTBSC02,"NE=280,BTSOTHPARA=309",309,SFD_RELIEF,,26_309,BSC6900GSMBTSOTHPARA,BTS Index=309,26
FTBSC02,"NE=280,BTSOTHPARA=83",83,HILLSTATION_II,NO,26_83,BSC6900GSMBTSOTHPARA,BTS Index=83,26
FTBSC02,"NE=280,BTSOTHPARA=271",271,HILLTOP,NO,26_271,BSC6900GSMBTSOTHPARA,BTS Index=271,26
FTBSC02,"NE=280,BTSOTHPARA=272",272,TIHUN,NO,26_272,BSC6900GSMBTSOTHPARA,BTS Index=272,26
FTBSC02,"NE=280,BTSOTHPARA=292",292,FOINDU,NO,26_292,BSC6900GSMBTSOTHPARA,BTS Index=292,26
FTBSC02,"NE=280,BTSOTHPARA=293",293,MONDEMA,NO,26_293,BSC6900GSMBTSOTHPARA,BTS Index=293,26
FTBSC02,"NE=280,BTSOTHPARA=299",299,US_EMBASSY,NO,26_299,BSC6900GSMBTSOTHPARA,BTS Index=299,26
FTBSC02,"NE=280,BTSOTHPARA=268",268,GIEMA,NO,26_268,BSC6900GSMBTSOTHPARA,BTS Index=268,26
FTBSC02,"NE=280,BTSOTHPARA=275",275,DOGOLIA,NO,26_275,BSC6900GSMBTSOTHPARA,BTS Index=275,26
FTBSC02,"NE=280,BTSOTHPARA=277",277,JORU,NO,26_277,BSC6900GSMBTSOTHPARA,BTS Index=277,26
FTBSC02,"NE=280,BTSOTHPARA=283",283,DAMAROAD_S,NO,26_283,BSC6900GSMBTSOTHPARA,BTS Index=283,26
FTBSC02,"NE=280,BTSOTHPARA=290",290,FORIA,NO,26_290,BSC6900GSMBTSOTHPARA,BTS Index=290,26
FTBSC02,"NE=280,BTSOTHPARA=289",289,BENDUGU,NO,26_289,BSC6900GSMBTSOTHPARA,BTS Index=289,26
FTBSC02,"NE=280,BTSOTHPARA=297",297,MAKENI_ENTRANCE,,26_297,BSC6900GSMBTSOTHPARA,BTS Index=297,26
FTBSC02,"NE=280,BTSOTHPARA=310",310,KOMBA,,26_310,BSC6900GSMBTSOTHPARA,BTS Index=310,26
FTBSC02,"NE=280,BTSOTHPARA=269",269,PRESIDENTIAL_LODGE,NO,26_269,BSC6900GSMBTSOTHPARA,BTS Index=269,26
FTBSC02,"NE=280,BTSOTHPARA=315",315,YAGOI,,26_315,BSC6900GSMBTSOTHPARA,BTS Index=315,26
FTBSC02,"NE=280,BTSOTHPARA=319",319,KENEMA_ENTRANCE,,26_319,BSC6900GSMBTSOTHPARA,BTS Index=319,26
FTBSC02,"NE=280,BTSOTHPARA=320",320,KENEMA_MFS,,26_320,BSC6900GSMBTSOTHPARA,BTS Index=320,26
FTBSC02,"NE=280,BTSOTHPARA=321",321,MAKENI_TEKOHRD,,26_321,BSC6900GSMBTSOTHPARA,BTS Index=321,26
FTBSC02,"NE=280,BTSOTHPARA=322",322,MAKENI_KABALAHIGHWAY,,26_322,BSC6900GSMBTSOTHPARA,BTS Index=322,26
FTBSC02,"NE=280,BTSOTHPARA=323",323,BO_SAMILAYOUT,,26_323,BSC6900GSMBTSOTHPARA,BTS Index=323,26
FTBSC02,"NE=280,BTSOTHPARA=327",327,TOMBODU,,26_327,BSC6900GSMBTSOTHPARA,BTS Index=327,26
FTBSC02,"NE=280,BTSOTHPARA=328",328,PEYIMA,,26_328,BSC6900GSMBTSOTHPARA,BTS Index=328,26
FTBSC02,"NE=280,BTSOTHPARA=329",329,KENEMA_KORTUGBOGOMA,,26_329,BSC6900GSMBTSOTHPARA,BTS Index=329,26
FTBSC02,"NE=280,BTSOTHPARA=331",331,FIRAWA,,26_331,BSC6900GSMBTSOTHPARA,BTS Index=331,26
FTBSC02,"NE=280,BTSOTHPARA=330",330,GBENDEMBU,,26_330,BSC6900GSMBTSOTHPARA,BTS Index=330,26
FTBSC02,"NE=280,BTSOTHPARA=332",332,YIRAIA,,26_332,BSC6900GSMBTSOTHPARA,BTS Index=332,26
FTBSC02,"NE=280,BTSOTHPARA=334",334,WORODU,,26_334,BSC6900GSMBTSOTHPARA,BTS Index=334,26
FTBSC02,"NE=280,BTSOTHPARA=338",338,JUMU_KAFIEJUMU,,26_338,BSC6900GSMBTSOTHPARA,BTS Index=338,26
FTBSC02,"NE=280,BTSOTHPARA=340",340,GONDAMA_MADINA,,26_340,BSC6900GSMBTSOTHPARA,BTS Index=340,26
FTBSC02,"NE=280,BTSOTHPARA=342",342,MAKARR_VILLAGE,,26_342,BSC6900GSMBTSOTHPARA,BTS Index=342,26
FTBSC02,"NE=280,BTSOTHPARA=336",336,MAKENI_SABU,NO,26_336,BSC6900GSMBTSOTHPARA,BTS Index=336,26
FTBSC02,"NE=280,BTSOTHPARA=335",335,MILTONSTREET,NO,26_335,BSC6900GSMBTSOTHPARA,BTS Index=335,26
FTBSC02,"NE=280,BTSOTHPARA=339",339,KUNYA,,26_339,BSC6900GSMBTSOTHPARA,BTS Index=339,26
FTBSC02,"NE=280,BTSOTHPARA=341",341,MOSENESIE_JUNCTION,,26_341,BSC6900GSMBTSOTHPARA,BTS Index=341,26
FTBSC02,"NE=280,BTSOTHPARA=349",349,TORMABUM,,26_349,BSC6900GSMBTSOTHPARA,BTS Index=349,26
FTBSC02,"NE=280,BTSOTHPARA=343",343,BO_GIEWA,,26_343,BSC6900GSMBTSOTHPARA,BTS Index=343,26
FTBSC02,"NE=280,BTSOTHPARA=346",346,KANDEHTOWN_BO,,26_346,BSC6900GSMBTSOTHPARA,BTS Index=346,26
FTBSC02,"NE=280,BTSOTHPARA=344",344,MATTRUEROAD_BO,,26_344,BSC6900GSMBTSOTHPARA,BTS Index=344,26
FTBSC02,"NE=280,BTSOTHPARA=345",345,ABUSTREET_BO,,26_345,BSC6900GSMBTSOTHPARA,BTS Index=345,26
FTBSC02,"NE=280,BTSOTHPARA=352",352,BO_BATIAMA,NO,26_352,BSC6900GSMBTSOTHPARA,BTS Index=352,26
FTBSC02,"NE=280,BTSOTHPARA=350",350,KENEMA_SESAYLANE,NO,26_350,BSC6900GSMBTSOTHPARA,BTS Index=350,26
