begintime,sk_object,duration,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-11 19:15:00,21368.0,15,271.0,25.0,0.0,9.0,0.0,0.0,0.0,11.0,0.0
2022-03-13 07:00:00,21319.0,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 11:15:00,21312.0,15,471.0,6.0,0.0,23.0,0.0,0.0,0.0,62.0,0.0
2022-03-13 15:00:00,21356.0,15,247.0,8.0,0.0,17.0,0.0,0.0,0.0,51.0,0.0
2022-03-13 15:15:00,21347.0,15,295.0,6.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0
2022-03-13 04:00:00,21317.0,15,186.0,20.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0
2022-03-12 16:00:00,21390.0,15,114.0,15.0,0.0,10.0,0.0,0.0,0.0,19.0,0.0
2022-03-11 19:15:00,21338.0,15,80.0,4.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0
2022-03-13 09:45:00,21339.0,15,67.0,1.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0
2022-03-11 10:45:00,21393.0,15,592.0,17.0,0.0,15.0,0.0,0.0,0.0,31.0,0.0
2022-03-13 05:30:00,21366.0,15,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 14:30:00,21316.0,15,151.0,16.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 09:15:00,21352.0,15,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:45:00,21366.0,15,52.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 09:15:00,21371.0,15,638.0,101.0,0.0,85.0,0.0,0.0,0.0,40.0,0.0
2022-03-11 16:45:00,21324.0,15,70.0,6.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0
2022-03-13 09:15:00,21315.0,15,60.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0
2022-03-11 18:30:00,21390.0,15,154.0,15.0,0.0,21.0,0.0,0.0,0.0,18.0,0.0
2022-03-12 10:00:00,21339.0,15,113.0,4.0,0.0,7.0,0.0,0.0,0.0,26.0,0.0
2022-03-11 23:15:00,21324.0,15,34.0,19.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0
2022-03-14 04:00:00,21351.0,15,114.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 05:15:00,21318.0,15,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:15:00,21305.0,15,90.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0
2022-03-13 02:00:00,21305.0,15,43.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2022-03-13 02:30:00,21381.0,15,42.0,73.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 18:30:00,21392.0,15,127.0,35.0,0.0,21.0,0.0,0.0,0.0,17.0,0.0
2022-03-13 17:30:00,21339.0,15,101.0,8.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0
2022-03-12 17:45:00,21356.0,15,276.0,6.0,0.0,11.0,0.0,0.0,0.0,48.0,0.0
2022-03-12 16:00:00,21360.0,15,227.0,25.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 21:00:00,21320.0,15,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:30:00,21354.0,15,253.0,1.0,0.0,13.0,0.0,0.0,0.0,26.0,0.0
2022-03-11 16:15:00,21327.0,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:15:00,21377.0,15,198.0,3.0,0.0,6.0,0.0,0.0,0.0,46.0,0.0
2022-03-11 10:00:00,21314.0,15,200.0,7.0,0.0,18.0,0.0,0.0,0.0,19.0,0.0
2022-03-13 00:15:00,21389.0,15,46.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 08:30:00,21351.0,15,398.0,8.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0
2022-03-11 06:00:00,21316.0,15,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 21:00:00,21351.0,15,460.0,21.0,0.0,37.0,0.0,0.0,0.0,45.0,0.0
2022-03-13 02:30:00,21343.0,15,88.0,49.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-03-13 12:00:00,21313.0,15,51.0,9.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0
2022-03-11 17:30:00,21314.0,15,140.0,2.0,0.0,3.0,0.0,0.0,0.0,31.0,0.0
2022-03-13 15:45:00,21346.0,15,29.0,14.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0
2022-03-11 10:45:00,21318.0,15,286.0,7.0,0.0,8.0,0.0,0.0,0.0,20.0,0.0
2022-03-12 03:30:00,21359.0,15,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:00:00,21349.0,15,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 11:00:00,21346.0,15,26.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0
2022-03-13 10:00:00,21350.0,15,48.0,51.0,0.0,54.0,0.0,0.0,0.0,2.0,0.0
2022-03-11 17:15:00,21361.0,15,325.0,3.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0
2022-03-12 02:00:00,21392.0,15,31.0,25.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0
2022-03-12 07:30:00,21384.0,15,66.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2022-03-12 00:45:00,21368.0,15,65.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
2022-03-14 03:00:00,21306.0,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 04:45:00,21353.0,15,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:45:00,21354.0,15,154.0,2.0,0.0,13.0,0.0,0.0,0.0,42.0,0.0
2022-03-14 03:15:00,21343.0,15,77.0,3.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0
2022-03-12 19:00:00,21313.0,15,75.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:15:00,21363.0,15,68.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
2022-03-13 13:45:00,21359.0,15,76.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2022-03-11 12:15:00,21310.0,15,348.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
2022-03-12 09:45:00,21329.0,15,94.0,3.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0
2022-03-11 22:00:00,21343.0,15,387.0,18.0,0.0,23.0,0.0,0.0,0.0,69.0,0.0
2022-03-12 09:45:00,21386.0,15,70.0,34.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0
2022-03-12 19:45:00,21351.0,15,522.0,18.0,0.0,18.0,0.0,0.0,0.0,11.0,0.0
2022-03-13 05:15:00,21379.0,15,51.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
2022-03-12 19:30:00,21379.0,15,585.0,20.0,0.0,20.0,0.0,0.0,0.0,21.0,0.0
2022-03-13 09:30:00,21361.0,15,261.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0
2022-03-11 05:15:00,21361.0,15,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:45:00,21327.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 09:45:00,21325.0,15,106.0,1.0,0.0,7.0,0.0,0.0,0.0,21.0,0.0
2022-03-11 03:45:00,21352.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 13:15:00,21386.0,15,80.0,27.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0
2022-03-12 20:15:00,21309.0,15,146.0,40.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0
2022-03-13 08:00:00,21364.0,15,29.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
2022-03-12 12:00:00,21312.0,15,587.0,19.0,0.0,30.0,0.0,0.0,0.0,107.0,0.0
2022-03-13 03:00:00,21371.0,15,248.0,75.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 18:15:00,21367.0,15,297.0,28.0,0.0,37.0,0.0,0.0,0.0,46.0,0.0
2022-03-13 13:30:00,21370.0,15,220.0,284.0,0.0,112.0,0.0,0.0,0.0,34.0,0.0
2022-03-13 08:00:00,21355.0,15,29.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
2022-03-14 04:15:00,21340.0,15,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:00:00,21386.0,15,54.0,14.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0
2022-03-11 22:15:00,21345.0,15,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,21376.0,15,203.0,18.0,0.0,15.0,0.0,0.0,0.0,32.0,0.0
2022-03-13 11:30:00,21319.0,15,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:15:00,21366.0,15,208.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0
2022-03-11 19:30:00,21357.0,15,224.0,66.0,0.0,39.0,0.0,0.0,0.0,46.0,0.0
2022-03-11 13:30:00,21363.0,15,397.0,27.0,0.0,47.0,0.0,0.0,0.0,30.0,0.0
2022-03-12 01:30:00,21357.0,15,73.0,226.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0
2022-03-11 22:15:00,21348.0,15,300.0,6.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0
2022-03-13 13:30:00,21330.0,15,448.0,15.0,0.0,36.0,0.0,0.0,0.0,48.0,0.0
2022-03-13 08:45:00,21368.0,15,194.0,35.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0
2022-03-11 08:45:00,21357.0,15,274.0,128.0,0.0,51.0,0.0,0.0,0.0,34.0,0.0
