NE Name,fdn,BTSID,CABINETDESC,CN,IDTYPE,MOIndex,SRANMODE,TYPE,className,name,neID
FTBSC02,"NE=280,BTSCABINET=224_0",224,-,0,BYID,26_224_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=224, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=232_0",232,-,0,BYID,26_232_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=232, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=237_0",237,-,0,BYID,26_237_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=237, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=238_0",238,-,0,BYID,26_238_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=238, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=233_0",233,-,0,BYID,26_233_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=233, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=55_1",55, ,1,BYID,26_55_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=55, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=245_0",245,-,0,BYID,26_245_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=245, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=247_0",247,-,0,BYID,26_247_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=247, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=252_0",252,-,0,BYID,26_252_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=252, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=257_0",257,-,0,BYID,26_257_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=257, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=258_0",258,-,0,BYID,26_258_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=258, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=263_0",263,-,0,BYID,26_263_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=263, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=271_0",271,-,0,BYID,26_271_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=271, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=272_0",272,-,0,BYID,26_272_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=272, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=282_0",282,-,0,BYID,26_282_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=282, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=293_0",293,-,0,BYID,26_293_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=293, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=53_0",53,-,0,BYID,26_53_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=53, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=57_0",57,-,0,BYID,26_57_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=57, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=69_0",69,-,0,BYID,26_69_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=69, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=83_0",83,-,0,BYID,26_83_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=83, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=71_0",71,-,0,BYID,26_71_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=71, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=76_0",76,-,0,BYID,26_76_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=76, Cabinet No.=0",26
